,0
0,
1,
2,
3,
4,
5,
6,"{'vehicle_id': 139, 'time_send': 19.595393830121168, 'time_enter': 23.140536006490336, 'time_start': 23.140536006490336, 'SOC_end': 100.0, 'SOC_send': 71.28092123397577, 'lat': 52.52135204703651, 'long': 13.41143981553143, 'v_hex': '871f1d489ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 40, 'CS_position': 40, 'distance': 0.7725710881845842}"
7,
8,
9,
10,
11,"{'vehicle_id': 124, 'time_send': 22.203277182198804, 'time_enter': 31.210873326462572, 'time_start': 31.210873326462572, 'SOC_end': 100.0, 'SOC_send': 67.15934456356024, 'lat': 52.50063307234369, 'long': 13.34311333974044, 'v_hex': '871f1d48affffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 41, 'CS_position': 45, 'distance': 3.5037980721318847}"
12,"{'vehicle_id': 169, 'time_send': 24.978283384408325, 'time_enter': 33.103962718587454, 'time_start': 33.103962718587454, 'SOC_end': 100.0, 'SOC_send': 67.60434332311834, 'lat': 52.48875636115075, 'long': 13.352554922657042, 'v_hex': '871f1d499ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 49, 'CS_position': 18, 'distance': 3.062839667089565}"
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,"{'vehicle_id': 126, 'time_send': 25.19414577819696, 'time_enter': 33.84145556637009, 'time_start': 33.84145556637009, 'SOC_end': 100.0, 'SOC_send': 67.7611708443606, 'lat': 52.51345305685887, 'long': 13.446778420835725, 'v_hex': '871f1d4d0ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 71, 'CS_position': 73, 'distance': 3.3236548940865607}"
23,
24,
25,
26,
27,
28,
29,"{'vehicle_id': 225, 'time_send': 67.85970460930044, 'time_enter': 75.53722594837706, 'time_start': None, 'SOC_end': 96.89255481032458, 'SOC_send': 98.0280590781399, 'lat': 52.50865654034899, 'long': 13.434277591391064, 'v_hex': '871f1d4d6ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 77, 'CS_position': 73, 'distance': 2.838760669538307}"
30,
31,"{'vehicle_id': 3, 'time_send': 76.17817325329008, 'time_enter': 82.55674671161314, 'time_start': 82.55674671161314, 'SOC_end': 100.0, 'SOC_send': 98.76436534934199, 'lat': 52.50837770029493, 'long': 13.414128736392064, 'v_hex': '871f1d4d6ffffff', 'CS_location': [52.50749500767846, 13.392681631628767], 'v_position': 77, 'CS_position': 42, 'distance': 2.1892867291615294}"
32,
33,
