,0
55,"{'vehicle_id': 214, 'time_send': 51.462937749403544, 'time_enter': 59.70946601691827, 'time_start': None, 'SOC_end': 96.85810679661635, 'SOC_send': 98.1074124501193, 'lat': 52.51117495772729, 'long': 13.43679442695593, 'v_hex': '871f1d4d6ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 77, 'CS_position': 73, 'distance': 3.123264133757365}"
56,
57,
58,"{'vehicle_id': 28, 'time_send': 135.29191060794983, 'time_enter': 145.64145140778828, 'time_start': 145.64145140778828, 'SOC_end': 100.0, 'SOC_send': 87.6634795954299, 'lat': 52.496830451285184, 'long': 13.3307837291122, 'v_hex': '871f1d49dffffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 53, 'CS_position': 45, 'distance': 4.1747703999192325}"
59,"{'vehicle_id': 129, 'time_send': 66.04401364730238, 'time_enter': 75.27584845738004, 'time_start': 75.27584845738004, 'SOC_end': 100.0, 'SOC_send': 69.79119727053953, 'lat': 52.57737429720264, 'long': 13.337746945028744, 'v_hex': '871f1d4a8ffffff', 'CS_location': [52.55574928705948, 13.335643865826528], 'v_position': 57, 'CS_position': 59, 'distance': 3.615917405038827}"
60,"{'vehicle_id': 122, 'time_send': 103.90699778134551, 'time_enter': 114.7919085232093, 'time_start': 114.7919085232093, 'SOC_end': 100.0, 'SOC_send': 96.01860044373089, 'lat': 52.45582685705777, 'long': 13.324116120548943, 'v_hex': '871f18b34ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 26, 'CS_position': 18, 'distance': 4.442455370931893}"
61,"{'vehicle_id': 136, 'time_send': 95.36643923046927, 'time_enter': 101.02040227450188, 'time_start': 101.02040227450188, 'SOC_end': 100.0, 'SOC_send': 94.52671215390615, 'lat': 52.469459142255225, 'long': 13.342198155257853, 'v_hex': '871f1d49bffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 51, 'CS_position': 18, 'distance': 1.8269815220163035}"
62,"{'vehicle_id': 152, 'time_send': 60.54564237474324, 'time_enter': 69.79693207686897, 'time_start': 69.79693207686897, 'SOC_end': 100.0, 'SOC_send': 68.09087152505136, 'lat': 52.49018898487874, 'long': 13.343368758828793, 'v_hex': '871f1d499ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 49, 'CS_position': 18, 'distance': 3.6256448510628685}"
63,"{'vehicle_id': 203, 'time_send': 65.61479932781694, 'time_enter': 72.70615952802979, 'time_start': 72.70615952802979, 'SOC_end': 100.0, 'SOC_send': 67.87704013443661, 'lat': 52.532514634955206, 'long': 13.355452333696764, 'v_hex': '871f1d48cffffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 43, 'CS_position': 45, 'distance': 2.545680100106422}"
64,"{'vehicle_id': 194, 'time_send': 84.16270379218196, 'time_enter': 95.37433694725995, 'time_start': 95.37433694725995, 'SOC_end': 100.0, 'SOC_send': 96.36745924156361, 'lat': 52.46905113790837, 'long': 13.314875019752323, 'v_hex': '871f1d49bffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 51, 'CS_position': 18, 'distance': 4.605816577538996}"
65,"{'vehicle_id': 15, 'time_send': 44.089675353068095, 'time_enter': 50.291703679189744, 'time_start': 50.291703679189744, 'SOC_end': 100.0, 'SOC_send': 73.7820649293864, 'lat': 52.503520518327235, 'long': 13.45962366273582, 'v_hex': '871f1d4d0ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 71, 'CS_position': 73, 'distance': 2.1010141630608254}"
66,"{'vehicle_id': 196, 'time_send': 120.10199999999995, 'time_enter': 130.09163339428295, 'time_start': 130.09163339428295, 'SOC_end': 100.0, 'SOC_send': 63.579695027408405, 'lat': 52.4769308202652, 'long': 13.321990837831589, 'v_hex': '871f1d49bffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 51, 'CS_position': 18, 'distance': 3.9948166971414976}"
67,
68,"{'vehicle_id': 230, 'time_send': 120.10899999999998, 'time_enter': 130.03795139964973, 'time_start': 130.03795139964973, 'SOC_end': 100.0, 'SOC_send': 63.66188487295535, 'lat': 52.477588995572276, 'long': 13.322593995479128, 'v_hex': '871f1d49bffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 51, 'CS_position': 18, 'distance': 3.964475699824874}"
69,"{'vehicle_id': 42, 'time_send': 110.07292145989683, 'time_enter': 115.88924131339316, 'time_start': None, 'SOC_end': 95.62215173732136, 'SOC_send': 96.38541570802063, 'lat': 52.50450787328291, 'long': 13.470534433358765, 'v_hex': '871f1d4d0ffffff', 'CS_location': [52.495678740098484, 13.482433686642096], 'v_position': 71, 'CS_position': 74, 'distance': 1.9081599267481602}"
70,"{'vehicle_id': 109, 'time_send': 43.74386390876287, 'time_enter': 52.86500057057317, 'time_start': 52.86500057057317, 'SOC_end': 100.0, 'SOC_send': 69.85122721824743, 'lat': 52.47841016135029, 'long': 13.3272092296955, 'v_hex': '871f1d49bffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 51, 'CS_position': 18, 'distance': 3.5605683309051517}"
71,"{'vehicle_id': 7, 'time_send': 51.71804094181256, 'time_enter': 55.824864885996305, 'time_start': 55.824864885996305, 'SOC_end': 100.0, 'SOC_send': 67.25639181163749, 'lat': 52.49978081244764, 'long': 13.4454974879828, 'v_hex': '871f1d4d2ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 73, 'CS_position': 73, 'distance': 1.0534119720918718}"
72,"{'vehicle_id': 188, 'time_send': 51.99022903251603, 'time_enter': 57.25607666892884, 'time_start': 57.25607666892884, 'SOC_end': 100.0, 'SOC_send': 64.4019541934968, 'lat': 52.51690141195481, 'long': 13.39708737051994, 'v_hex': '871f1d48bffffff', 'CS_location': [52.50749500767846, 13.392681631628767], 'v_position': 42, 'CS_position': 42, 'distance': 1.6329238182064059}"
73,"{'vehicle_id': 36, 'time_send': 164.65846932606607, 'time_enter': 171.63200290615953, 'time_start': 171.63200290615953, 'SOC_end': 100.0, 'SOC_send': 95.32427921204179, 'lat': 52.51369280733877, 'long': 13.359180487603824, 'v_hex': '871f1d48affffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 41, 'CS_position': 45, 'distance': 2.486766790046725}"
74,"{'vehicle_id': 143, 'time_send': 75.46716038095138, 'time_enter': 78.48588658377115, 'time_start': 80.61020714158228, 'SOC_end': 100.0, 'SOC_send': 68.30656792380972, 'lat': 52.49054456967565, 'long': 13.446110750742779, 'v_hex': '871f1d4d2ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 73, 'CS_position': 73, 'distance': 0.5093631014098801}"
75,"{'vehicle_id': 218, 'time_send': 33.66598335979942, 'time_enter': 36.347583367198766, 'time_start': 36.347583367198766, 'SOC_end': 100.0, 'SOC_send': 65.26680332804013, 'lat': 52.557328757268074, 'long': 13.337766638270908, 'v_hex': '871f1d4aaffffff', 'CS_location': [52.55574928705948, 13.335643865826528], 'v_position': 59, 'CS_position': 59, 'distance': 0.34080000369967484}"
76,"{'vehicle_id': 89, 'time_send': 60.01999999999995, 'time_enter': 72.28954938055888, 'time_start': 72.28954938055888, 'SOC_end': 100.0, 'SOC_send': 72, 'lat': 52.4174007180733, 'long': 13.476353744963696, 'v_hex': '871f18b01ffffff', 'CS_location': [52.42903204694833, 13.522938242689461], 'v_position': 5, 'CS_position': 11, 'distance': 5.134774690279466}"
77,"{'vehicle_id': 275, 'time_send': 60.07199999999983, 'time_enter': 71.82723236097547, 'time_start': 71.82723236097547, 'SOC_end': 100.0, 'SOC_send': 72, 'lat': 52.40469491745111, 'long': 13.549393636090523, 'v_hex': '871f18b0bffffff', 'CS_location': [52.42903204694833, 13.522938242689461], 'v_position': 10, 'CS_position': 11, 'distance': 4.877616180487822}"
78,"{'vehicle_id': 210, 'time_send': 139.96510485436997, 'time_enter': 150.77708741618562, 'time_start': 150.77708741618562, 'SOC_end': 100.0, 'SOC_send': 68.206979029126, 'lat': 52.547600364281934, 'long': 13.376832564426799, 'v_hex': '871f1d48dffffff', 'CS_location': [52.55574928705948, 13.335643865826528], 'v_position': 44, 'CS_position': 59, 'distance': 4.405991280907833}"
79,"{'vehicle_id': 202, 'time_send': 20.584348540284264, 'time_enter': 23.839684909613887, 'time_start': 23.839684909613887, 'SOC_end': 100.0, 'SOC_send': 71.08313029194315, 'lat': 52.50370981863631, 'long': 13.290805991620903, 'v_hex': '871f1d49cffffff', 'CS_location': [52.50097209442047, 13.286581684197895], 'v_position': 52, 'CS_position': 52, 'distance': 0.6276681846648107}"
80,"{'vehicle_id': 221, 'time_send': 87.64157989032744, 'time_enter': 93.21588293264377, 'time_start': 93.21588293264377, 'SOC_end': 100.0, 'SOC_send': 96.99974835349809, 'lat': 52.51819617247698, 'long': 13.393256779748786, 'v_hex': '871f1d48bffffff', 'CS_location': [52.50749500767846, 13.392681631628767], 'v_position': 42, 'CS_position': 42, 'distance': 1.7871515211581654}"
