,id,origin,destination,origin_zone,mode,destination_zone,arrival_time,pickup_time,waiting_time
0,"(1, 34)","[52.535688899043755, 13.310814474199478]","[52.522108293007435, 13.322849929155101]",34,finished,45,[1.44960073],7.7321253648571355,[6.28252464]
1,"(3, 71)","[52.510882700402966, 13.481419036037519]","[52.528355620631494, 13.50888487239283]",71,finished,68,[1.43906391],5.6365125387936335,[4.19744863]
2,"(1, 40)","[52.51833149696257, 13.412616385378316]","[52.52406487423097, 13.397210126793668]",40,finished,40,[4.08406498],10.322454170153241,[6.23838919]
3,"(1, 85)","[52.54040405024018, 13.43985428864538]","[52.55503401099243, 13.409443520324807]",85,finished,85,[2.56221474],7.716619885809139,[5.15440514]
4,"(1, 65)","[52.533445556568985, 13.213301630513238]","[52.52544754834075, 13.227499691929086]",65,finished,65,[0.01042523],12.050794824885367,[12.04036959]
5,"(1, 16)","[52.49661219609096, 13.358452797602693]","[52.49435208557522, 13.313093735744596]",16,finished,53,[1.04304255],7.916782394231847,[6.87373984]
6,"(2, 13)","[52.482298285461646, 13.419836697273213]","[52.49317628794235, 13.397026636702815]",13,finished,17,[7.36360181],12.194942312539402,[4.8313405]
7,"(2, 40)","[52.52307051769986, 13.403864082798819]","[52.53037194120363, 13.396168826600881]",40,finished,40,[8.22964074],15.652600705829837,[7.42295996]
8,"(1, 52)","[52.49357570894973, 13.274478917646487]","[52.477994155474924, 13.319358915155629]",52,finished,48,[2.03045244],8.500944373326197,[6.47049193]
9,"(1, 39)","[52.52520689679972, 13.374159490782162]","[52.517352050322245, 13.376977900444164]",39,finished,39,[11.33915984],17.256440729999746,[5.91728089]
10,"(1, 58)","[52.5777797743791, 13.39400305275287]","[52.56612524310483, 13.386586322294765]",58,finished,58,[8.99518046],16.118972025776745,[7.12379157]
11,"(2, 71)","[52.50547234918935, 13.466574627665418]","[52.528170551367815, 13.410584572284678]",71,finished,40,[1.27104812],6.742634884093568,[5.47158676]
12,"(1, 71)","[52.50280174213189, 13.451637711939782]","[52.54271033132792, 13.421283500710665]",71,finished,85,[0.01306164],6.452321719859134,[6.43926007]
13,"(3, 53)","[52.510244833984544, 13.318620989876647]","[52.49461575493658, 13.308356715247484]",53,finished,53,[10.19916064],15.59692914492512,[5.39776851]
14,"(2, 49)","[52.479835189038575, 13.34395498463572]","[52.48120941633637, 13.337321769169113]",49,finished,49,[15.48886443],20.563079432587333,[5.074215]
15,"(1, 77)","[52.51636667504247, 13.425289140553268]","[52.49762151975763, 13.36628059858173]",77,finished,16,[1.15993034],8.467463538005074,[7.3075332]
16,"(2, 77)","[52.51678379014298, 13.440312917804716]","[52.549661821524914, 13.478109086462947]",77,finished,86,[1.57778694],8.771221070788826,[7.19343414]
17,"(3, 77)","[52.503455544449665, 13.433399650004477]","[52.519163887489405, 13.4719593867842]",77,finished,71,[8.45927466],13.686882103183914,[5.22760745]
18,"(1, 80)","[52.526503569247566, 13.543918579913916]","[52.48364794272549, 13.534145596034293]",80,finished,79,[0.24632598],8.726116951627024,[8.47979097]
19,"(1, 17)","[52.497693143852544, 13.411453508776365]","[52.48685203424335, 13.35218455127675]",17,finished,49,[4.21237979],11.164607717925044,[6.95222793]
20,"(2, 53)","[52.50960072321591, 13.310794366847558]","[52.517066068347454, 13.382215820921717]",53,finished,39,[4.50693704],9.273426139548585,[4.7664891]
21,"(1, 36)","[52.53011511718829, 13.309556310688226]","[52.49460773963921, 13.300298938834496]",36,finished,48,[4.18551463],12.57056153146803,[8.3850469]
22,"(1, 43)","[52.533420381502204, 13.356439706203322]","[52.58172715612525, 13.363367853577943]",43,finished,57,[4.12754442],8.650986939480354,[4.52344252]
23,"(1, 49)","[52.496813147941836, 13.326830293553277]","[52.50871776127729, 13.35509175630917]",49,finished,41,[9.40192707],18.21564972656323,[8.81372266]
24,"(1, 72)","[52.505422149490975, 13.512471494673473]","[52.51901237278135, 13.508106870095487]",72,finished,72,[13.06379104],20.652282743596547,[7.58849171]
25,"(1, 13)","[52.4832916016045, 13.43384907160533]","[52.49401843576703, 13.495512396699809]",13,finished,74,[5.92089528],13.069636117825041,[7.14874084]
26,"(4, 14)","[52.46472203547661, 13.36448672960336]","[52.461386203260645, 13.36465296249945]",14,finished,18,[20.39007216],25.302989055155237,[4.9129169]
27,"(1, 27)","[52.441418217455464, 13.331437310680434]","[52.470349007622126, 13.335063344307079]",27,finished,51,[9.24094456],17.21777599590601,[7.97683143]
28,"(1, 37)","[52.54929917872242, 13.304008939170338]","[52.522105453326795, 13.253327828013662]",37,finished,35,[7.43815831],13.232922333579383,[5.79476402]
29,"(1, 62)","[52.554550494134865, 13.183928206504786]","[52.5404776439009, 13.201922479820565]",62,finished,62,[3.6423349],21.100523647466495,[17.45818875]
30,"(2, 85)","[52.55509181660227, 13.40824900705453]","[52.55979006002085, 13.31784972653563]",85,finished,37,[2.58584605],8.622768282298024,[6.03692223]
31,"(1, 83)","[52.56450936859001, 13.427629646029523]","[52.552222388045394, 13.417740502847085]",83,finished,88,[14.5309918],22.519046981754805,[7.98805518]
32,"(2, 35)","[52.505695409105876, 13.277002273270666]","[52.514081106468936, 13.304150234097364]",35,finished,53,[16.17920893],21.17178626324567,[4.99257733]
