,id,origin,destination,origin_zone,mode,destination_zone,arrival_time,pickup_time,waiting_time
0,"(1, 49)","[52.48658866519031, 13.335002219766768]","[52.47655892701682, 13.361116690916562]",49,finished,18,[3.42840128],6.9644102149852625,[3.53600894]
1,"(1, 17)","[52.48525061252918, 13.411472707928482]","[52.47514993118482, 13.41372631738608]",17,finished,13,[3.34613912],10.238172034157621,[6.89203291]
2,"(1, 38)","[52.53293726015349, 13.259808945164837]","[52.53065251995644, 13.254170589874793]",38,finished,38,[6.42241276],12.762836803223603,[6.34042404]
3,"(2, 13)","[52.4694088196435, 13.439856104719066]","[52.456382207074455, 13.429170091879222]",13,finished,15,[6.40540813],10.219951849764321,[3.81454372]
4,"(1, 51)","[52.46656695832243, 13.328296047516647]","[52.48942317303191, 13.335619984935928]",51,finished,49,[3.80832691],7.913046773863742,[4.10471986]
5,"(2, 53)","[52.50531678495748, 13.325438680917948]","[52.494212307852884, 13.320979299498772]",53,finished,53,[9.04039853],13.489889000028795,[4.44949047]
6,"(1, 50)","[52.45770646875318, 13.293320448396905]","[52.484637542368766, 13.322709858651754]",50,finished,48,[1.13596023],6.567087509016696,[5.43112728]
7,"(1, 74)","[52.493045178743245, 13.473774809137234]","[52.48569167157875, 13.43381957598442]",74,finished,73,[2.90027858],8.924982244486905,[6.02470367]
8,"(3, 44)","[52.55113013355541, 13.373192496283046]","[52.53376603967255, 13.41455051719223]",44,finished,40,[2.93430531],8.05374512558685,[5.11943982]
9,"(1, 42)","[52.49838390211417, 13.409865763261871]","[52.48618108112468, 13.383243311919347]",42,finished,16,[7.01796257],12.010551538253395,[4.99258897]
10,"(1, 48)","[52.47981473725267, 13.30462138328539]","[52.50653360686384, 13.327622960928787]",48,finished,53,[5.11161467],9.247129294853234,[4.13551463]
11,"(1, 52)","[52.50210732782751, 13.280885299507018]","[52.47471793815941, 13.327699015837478]",52,finished,51,[2.97126453],7.372382143542558,[4.40111761]
12,"(1, 43)","[52.53813768328609, 13.34098650005863]","[52.53089394959172, 13.375121280441252]",43,finished,44,[9.48360096],14.038946242479367,[4.55534528]
13,"(1, 16)","[52.49938478987167, 13.392251074595842]","[52.5146713401245, 13.464788839860313]",16,finished,71,[1.30781044],5.835680359886833,[4.52786992]
14,"(1, 45)","[52.51925787679188, 13.337240059233826]","[52.502240879623855, 13.336199881502374]",45,finished,53,[6.39886893],16.354769021205552,[9.95590009]
15,"(2, 42)","[52.502403727044104, 13.393644131235762]","[52.52347896431137, 13.375169497724105]",42,finished,39,[9.79759658],14.3297958826179,[4.5321993]
16,"(1, 71)","[52.500474933009016, 13.466893115584474]","[52.53321409861253, 13.426251101677046]",71,finished,85,[5.41827671],10.607216758706482,[5.18894004]
17,"(2, 48)","[52.49296635173604, 13.304003698776267]","[52.48784267338417, 13.32136698472852]",48,finished,48,[12.7475146],20.730626446599786,[7.98311184]
18,"(1, 75)","[52.52670568569457, 13.450472030458549]","[52.4875682047596, 13.391294847597973]",75,finished,16,[0.41647114],6.897960695558851,[6.48148956]
19,"(1, 77)","[52.49844461817902, 13.445511689371914]","[52.522246967783374, 13.399503626050421]",77,finished,40,[2.7796259],13.01022972217774,[10.23060382]
20,"(1, 14)","[52.449924677103304, 13.376100952941329]","[52.43903345144326, 13.348379331976139]",14,finished,25,[15.31754478],19.66511695578362,[4.34757218]
21,"(2, 44)","[52.55277202624091, 13.403505620709302]","[52.49677544518286, 13.388895384526004]",44,finished,42,[2.62505419],8.234379259469488,[5.60932507]
22,"(1, 13)","[52.48339329431386, 13.43345484646325]","[52.53080778688566, 13.413315450477707]",13,finished,40,[2.54370133],10.983005904449964,[8.43930458]
23,"(3, 53)","[52.514396901916534, 13.313044326507857]","[52.51799829469492, 13.363461742940782]",53,finished,39,[11.83057909],17.43625017465626,[5.60567108]
24,"(2, 51)","[52.4790964067224, 13.330722966471244]","[52.45633612192683, 13.300770874929075]",51,finished,50,[12.30127736],18.198812469725585,[5.89753511]
25,"(1, 60)","[52.56381558561249, 13.375118377260256]","[52.508819543097324, 13.320068892740654]",60,finished,36,[0.42613334],6.9141190003137964,[6.48798566]
26,"(5, 53)","[52.500153244765855, 13.320784830444502]","[52.49839806541016, 13.32637172295605]",53,finished,53,[22.72033382],27.396804187197695,[4.67647037]
27,"(2, 40)","[52.514584803427844, 13.422498767611643]","[52.525871435227614, 13.340398082589504]",40,finished,45,[3.15224929],11.664679037185653,[8.51242975]
28,"(1, 61)","[52.570782229765086, 13.317502678026493]","[52.57337003490039, 13.39061022055661]",61,finished,58,[10.51753395],15.244341487068692,[4.72680754]
29,"(1, 73)","[52.489436367397225, 13.447904996890014]","[52.52870148348717, 13.443897792497818]",73,finished,75,[7.22398309],17.08631802634353,[9.86233494]
30,"(2, 71)","[52.50547090362005, 13.45110026005837]","[52.501113665332454, 13.418676260586567]",71,finished,17,[15.28783156],24.002836273306023,[8.71500472]
31,"(2, 77)","[52.50109630476077, 13.415230013087498]","[52.49846989725174, 13.435447274242428]",77,finished,77,[21.95802589],27.39082638110083,[5.43280049]
32,"(2, 85)","[52.55350293002999, 13.423999830478094]","[52.53396464854296, 13.415046042798506]",85,finished,40,[18.74709346],25.079261632527782,[6.33216818]
33,"(2, 75)","[52.5258652468577, 13.432162318313791]","[52.51586666715513, 13.452242401078816]",75,finished,71,[19.63722826],27.47894658571056,[7.84171833]
34,"(1, 41)","[52.5138253024416, 13.35642715577225]","[52.54701830088134, 13.386010084341752]",41,finished,44,[8.47944665],20.39912036150365,[11.91967371]
35,"(1, 44)","[52.53962936505838, 13.406594969242368]","[52.46763218325378, 13.33944748683452]",44,finished,51,[0.38001706],5.536718102286397,[5.15670104]
36,"(3, 43)","[52.54216745382723, 13.344725700871749]","[52.544665731181, 13.333189088639209]",43,finished,59,[27.9511076],30.96618442662338,[3.01507682]
37,"(2, 49)","[52.47865448668646, 13.329023401112497]","[52.44579805183605, 13.303387451675837]",49,finished,26,[14.80027347],22.254354593628435,[7.45408113]
38,"(3, 42)","[52.5003614364966, 13.397896626683812]","[52.53443957679367, 13.38734921428958]",42,finished,39,[19.44523466],23.323883603895112,[3.87864895]
39,"(2, 16)","[52.4966449628408, 13.390408601837525]","[52.48541407947791, 13.30885556053437]",16,finished,48,[13.91484342],17.961632133554794,[4.04678871]
40,"(1, 80)","[52.50596457565269, 13.526822693095026]","[52.53664633651039, 13.524867198089812]",80,finished,68,[19.27130419],25.080559603931356,[5.80925542]
41,"(1, 87)","[52.580775775129396, 13.420410914437172]","[52.551785601943685, 13.385212503160956]",87,finished,44,[14.49364218],23.513252069520732,[9.01960989]
42,"(2, 52)","[52.504807963190956, 13.281110464232954]","[52.506906070704744, 13.287447316748576]",52,finished,52,[29.58372134],34.26267016583341,[4.67894882]
43,"(3, 71)","[52.50163726627734, 13.454513159005307]","[52.46304042903401, 13.44894149865103]",71,finished,23,[15.97196193],23.126414712475363,[7.15445278]
44,"(4, 40)","[52.529719955611874, 13.407870648832548]","[52.51572920365498, 13.30548882057378]",40,finished,36,[7.36570545],14.806680693580908,[7.44097524]
45,"(1, 12)","[52.47824245357179, 13.401542073739128]","[52.44378457518779, 13.322607448479799]",12,finished,26,[11.20082241],16.428391422710853,[5.22756901]
46,"(1, 23)","[52.45627902923758, 13.439056704636918]","[52.50362086564619, 13.419381435178074]",23,finished,77,[13.82339591],20.208287796952842,[6.38489188]
47,"(3, 40)","[52.5330304052867, 13.40446365393453]","[52.55495055951536, 13.298593440053411]",40,finished,37,[6.22009871],13.78154771871112,[7.56144901]
48,"(1, 34)","[52.52691506327499, 13.329293278642648]","[52.52269433821454, 13.378928036166172]",34,finished,39,[16.20106661],26.354534652845835,[10.15346804]
49,"(1, 88)","[52.56116416035404, 13.391313838013106]","[52.49670737544284, 13.318262027399404]",88,finished,53,[6.56564623],10.829183212308191,[4.26353698]
50,"(3, 51)","[52.47641604745972, 13.331141386026069]","[52.45100834204796, 13.379373848819432]",51,finished,14,[17.22905067],24.399801775511932,[7.1707511]
51,"(4, 85)","[52.53686225387023, 13.416086283709005]","[52.53405114182688, 13.420912169686208]",85,finished,85,[25.1704518],36.69430216354395,[11.52385037]
52,"(3, 16)","[52.49925095513981, 13.377125629634898]","[52.45869407862497, 13.389534466040185]",16,finished,14,[17.18249635],24.749931953842395,[7.56743561]
53,"(1, 22)","[52.48432194816942, 13.497976651221023]","[52.550636582942026, 13.401696795761497]",22,finished,44,[4.9464599],9.078254751980989,[4.13179486]
54,"(2, 45)","[52.530442630852406, 13.328791803901535]","[52.53202178923585, 13.39324840015608]",45,finished,40,[16.63020655],25.580285811562145,[8.95007926]
55,"(1, 62)","[52.553022664843056, 13.194543511849142]","[52.53663993931361, 13.20611564077888]",62,finished,62,[14.08041783],33.189718228751126,[19.1093004]
56,"(2, 17)","[52.48180946141122, 13.410835237063615]","[52.510946925213105, 13.368448795177494]",17,finished,41,[18.94338471],26.44358421171775,[7.50019951]
57,"(1, 3)","[52.44168704887729, 13.281454388567756]","[52.442949140888835, 13.297943010410098]",3,finished,26,[28.78037576],36.547970850788,[7.76759509]
58,"(1, 57)","[52.57454985603702, 13.33439959505998]","[52.56436372978351, 13.357210334529881]",57,finished,60,[29.55950702],34.25368254529968,[4.69417552]
59,"(4, 16)","[52.495358660160754, 13.361625580260373]","[52.516987325165886, 13.392324704102903]",16,finished,42,[23.21386598],30.46500745342939,[7.25114148]
60,"(3, 74)","[52.49206671230251, 13.488704903473577]","[52.53154100124987, 13.476056215497811]",74,finished,76,[21.9915455],26.73728548237065,[4.74573998]
61,"(1, 69)","[52.55120434045043, 13.485922048398468]","[52.515835383594286, 13.476042278816003]",69,finished,71,[21.76174867],28.287940376708086,[6.5261917]
62,"(6, 40)","[52.52753399319359, 13.396073438414138]","[52.51457133672459, 13.349513755030902]",40,finished,45,[18.63515416],30.149659644564167,[11.51450548]
63,"(2, 74)","[52.50037665613545, 13.481617468386005]","[52.511072439601534, 13.394246331285508]",74,finished,42,[19.25853046],22.456232021037504,[3.19770156]
64,"(2, 41)","[52.49956218605155, 13.34975585688127]","[52.50975458684405, 13.386748363979063]",41,finished,42,[24.83683612],32.65199390186409,[7.81515778]
65,"(5, 40)","[52.53381641278411, 13.401586353457162]","[52.49175002973299, 13.440129509783018]",40,finished,73,[17.50040393],25.002183222139777,[7.50177929]
66,"(1, 53)","[52.50123001857223, 13.317416291542658]","[52.53328748534257, 13.488173353281484]",53,finished,76,[0.68096384],4.972408264087122,[4.29144442]
67,"(3, 18)","[52.4598737617137, 13.360527063812908]","[52.46198637822159, 13.356364018826737]",18,finished,27,[35.3115919],40.427391799054995,[5.1157999]
68,"(1, 26)","[52.45027143910886, 13.310349590502542]","[52.54028522637753, 13.350408714644884]",26,finished,43,[5.6796032],10.64589987102476,[4.96629667]
69,"(4, 53)","[52.49790238521749, 13.32220595749232]","[52.537581866957275, 13.264760410528169]",53,finished,38,[19.19841382],24.20200875478458,[5.00359493]
70,"(1, 9)","[52.41298331920635, 13.379556458573301]","[52.50209801836897, 13.318221839224655]",9,finished,53,[2.07125863],9.789485112169709,[7.71822648]
