,vehicle_id,time_send,time_enter,time_start,SOC_end,SOC_send,lat,long,v_hex,CS_location,v_position,CS_position,distance
0,2,15.997432820684919,20.475271159940945,20.475271159940945,87.1794938347769,71.80051343586302,52.52406487423097,13.397210126793668,871f1d489ffffff,"[52.5257475440694, 13.409062493613757]",40,40,1.2389191696280126
1,131,14.88559957463109,20.03973721669529,20.03973721669529,100.0,71.22288008507377,52.522108293007435,13.322849929155101,871f1d48effffff,"[52.52141790152521, 13.33829806832828]",45,45,1.5770688210321
2,76,22.43330601071332,25.29951815549139,25.29951815549139,100.0,71.71333879785735,52.528170551367815,13.410584572284678,871f1d489ffffff,"[52.5257475440694, 13.409062493613757]",40,40,0.4331060723890353
3,262,20.550194277068503,25.5956357747814,25.5956357747814,100.0,70.6899611445863,52.53037194120363,13.396168826600881,871f1d489ffffff,"[52.5257475440694, 13.409062493613757]",40,40,1.5227207488564491
4,41,17.60050060906167,29.37759119695437,29.37759119695437,100.0,69.07989987818766,52.55503401099243,13.409443520324807,871f1d4f6ffffff,"[52.5257475440694, 13.409062493613757]",88,40,4.8885452939463505
5,124,28.41710031529515,33.75730867812496,33.75730867812496,100.0,73.51657993694097,52.461386203260645,13.36465296249945,871f18b26ffffff,"[52.47097073792449, 13.35994956957977]",18,18,1.6701041814149042
6,14,21.02295875852318,31.62308100284436,31.62308100284436,100.0,69.39540824829537,52.477994155474924,13.319358915155629,871f1d49bffffff,"[52.47097073792449, 13.35994956957977]",51,18,4.300061122160589
7,180,25.772235464624426,33.305086535434306,33.305086535434306,100.0,70.84555290707512,52.48685203424335,13.35218455127675,871f1d499ffffff,"[52.47097073792449, 13.35994956957977]",49,18,2.7664255354049403
8,140,26.03170834720963,34.219241262416524,34.219241262416524,100.0,69.79365833055807,52.517066068347454,13.382215820921717,871f1d488ffffff,"[52.5257475440694, 13.409062493613757]",39,40,3.0937664576034467
9,87,28.903951793105463,35.9816579447277,35.9816579447277,100.0,67.01920964137891,52.470349007622126,13.335063344307079,871f1d49bffffff,"[52.47097073792449, 13.35994956957977]",51,18,2.538853075811118
10,82,34.73971742546845,40.48154914647538,40.48154914647538,100.0,71.85205651490631,52.481088395336215,13.367849742477297,871f18b24ffffff,"[52.47097073792449, 13.35994956957977]",16,18,1.8709158605034664
11,219,32.99825587013214,41.830197935974866,41.830197935974866,100.0,73.60034882597358,52.52638057842118,13.37552452279866,871f1d488ffffff,"[52.5257475440694, 13.409062493613757]",39,40,3.4159710329213606
12,221,26.838910993914908,39.183566011385636,39.183566011385636,100.0,68.63221780121701,52.58172715612525,13.363367853577943,871f1d4a8ffffff,"[52.55574928705948, 13.335643865826528]",57,59,5.172327508735364
13,160,29.42996953722466,38.181077020097085,38.181077020097085,100.0,66.11400609255506,52.48991300917205,13.348348598892398,871f1d499ffffff,"[52.47097073792449, 13.35994956957977]",49,18,3.3755537414362125
14,271,30.836836289484264,42.40235947767884,42.40235947767884,100.0,70.23263274210315,52.501412078992814,13.384268032137609,871f1d48bffffff,"[52.5257475440694, 13.409062493613757]",42,40,4.782761594097288
15,26,31.34233688067703,41.29450128613915,41.29450128613915,100.0,67.33153262386459,52.47786755787386,13.417669576687896,871f18b21ffffff,"[52.49354154204223, 13.447052745473286]",13,73,3.9760822027310594
16,9,36.88733780086564,41.74235527224167,41.74235527224167,100.0,67.02253243982688,52.485023775269525,13.448310734020188,871f1d4d2ffffff,"[52.49354154204223, 13.447052745473286]",73,73,1.427508735688013
17,175,39.14933413083075,44.113690521578555,44.113690521578555,100.0,69.77013317383386,52.512584420915424,13.336813275350682,871f1d48effffff,"[52.52141790152521, 13.33829806832828]",45,45,1.4821781953739024
18,32,40.817032418246775,46.412559323529194,46.412559323529194,100.0,73.23659351635064,52.53194830339393,13.34200571534669,871f1d48effffff,"[52.52141790152521, 13.33829806832828]",45,45,1.7977634526412105
19,121,39.13415716842398,44.40761795269264,44.40761795269264,100.0,69.5731685663152,52.565278777529485,13.339435527787737,871f1d4aaffffff,"[52.55574928705948, 13.335643865826528]",59,59,1.6367303921343295
20,186,38.31198507319109,43.74010913359561,43.74010913359561,100.0,67.13760298536178,52.50226984804524,13.438188086603397,871f1d4d6ffffff,"[52.49354154204223, 13.447052745473286]",77,73,1.71406203020226
21,246,36.65824846788388,43.91191799561326,43.91191799561326,100.0,65.46835030642322,52.50623259701146,13.462301885665074,871f1d4d0ffffff,"[52.49354154204223, 13.447052745473286]",71,73,2.6268347638646894
22,259,37.368560668656585,45.59912575228481,45.59912575228481,100.0,67.32628786626867,52.50600843883085,13.424293830249916,871f1d4d6ffffff,"[52.49354154204223, 13.447052745473286]",77,73,3.115282541814115
23,131,58.78885315979875,63.77506804136027,63.77506804136027,100.0,96.64222936804025,52.53468547662857,13.409655929516257,871f1d489ffffff,"[52.5257475440694, 13.409062493613757]",40,40,1.4931074407807634
24,100,43.00798778265937,48.650150178100766,48.650150178100766,100.0,70.99840244346812,52.53460365904163,13.419510574087859,871f1d4f2ffffff,"[52.5257475440694, 13.409062493613757]",85,40,1.821081197720697
25,268,44.781356230968804,48.729667105645035,48.729667105645035,100.0,68.84372875380625,52.51994595812402,13.410103110466206,871f1d489ffffff,"[52.5257475440694, 13.409062493613757]",40,40,0.9741554373381152
26,5,40.572591088925186,49.09967021217567,49.09967021217567,100.0,68.42710603700698,52.55916234988928,13.367230922465989,871f1d4abffffff,"[52.55574928705948, 13.335643865826528]",60,59,3.263539561625242
27,274,45.06330428923762,49.60864493843547,49.60864493843547,100.0,68.38733914215247,52.52019704878685,13.400492266401105,871f1d489ffffff,"[52.5257475440694, 13.409062493613757]",40,40,1.2726703245989235
28,166,37.82617147657286,49.041512983425,49.041512983425,100.0,65.63476570468544,52.507715997964404,13.48586784957621,871f1d4d1ffffff,"[52.49354154204223, 13.447052745473286]",72,73,4.60767075342607
29,170,47.00787844159477,53.407273154003704,53.407273154003704,100.0,71.59842431168104,52.514358204611824,13.398193866897241,871f1d48bffffff,"[52.5257475440694, 13.409062493613757]",42,40,2.199697356204467
30,164,47.35231298320052,54.822582824861186,54.822582824861186,100.0,66.5295374033599,52.50953395554909,13.356791150461175,871f1d48affffff,"[52.52141790152521, 13.33829806832828]",41,45,2.7351349208303337
31,209,50.291094190644046,58.23610381126819,58.23610381126819,100.0,70.3417811618712,52.54222007954298,13.316647722353075,871f1d481ffffff,"[52.55574928705948, 13.335643865826528]",34,59,2.9725048103120715
32,149,49.04605425112863,59.875690307673906,59.875690307673906,100.0,71.39078914977428,52.451436954862295,13.330754596549212,871f18b35ffffff,"[52.47097073792449, 13.35994956957977]",27,18,4.414818028272637
33,41,67.68572895746162,72.56776993407503,72.56776993407503,100.0,98.06285420850767,52.551479343732325,13.407625991543727,871f1d4f6ffffff,"[52.56008239238105, 13.406443921362142]",88,88,1.4410204883067044
34,60,46.98792631363855,60.87206211534329,61.849841440475856,100.0,70.00241473727229,52.458333586318666,13.455675313727964,871f18b2effffff,"[52.49354154204223, 13.447052745473286]",23,73,5.942067900852369
35,266,51.63749975332616,58.45523180964564,58.45523180964564,100.0,60.87250004933477,52.553413421845896,13.312279186385988,871f1d485ffffff,"[52.55574928705948, 13.335643865826528]",37,59,2.4088660281597405
36,115,58.54284024386847,63.98368486044545,63.98368486044545,100.0,66.8914319512263,52.515583005826194,13.406261641143361,871f1d489ffffff,"[52.5257475440694, 13.409062493613757]",40,40,1.7204223082884917
37,13,59.74984015831721,65.34817622637719,66.14807620632351,100.0,68.05003196833655,52.524115936440786,13.391593912845039,871f1d489ffffff,"[52.5257475440694, 13.409062493613757]",40,40,1.799168034029992
38,194,51.57035047084998,67.39523389279395,67.39523389279395,100.0,72.08592990583001,52.54722421589293,13.467130765516021,871f1d4f3ffffff,"[52.5257475440694, 13.409062493613757]",86,40,6.912441710971989
39,38,54.981069829368465,63.58542310704132,63.58542310704132,100.0,63.803786034126304,52.512558161580856,13.455991817933805,871f1d4d0ffffff,"[52.49354154204223, 13.447052745473286]",71,73,3.302176638836427
40,221,78.92431775736685,84.48113314986813,84.48113314986813,100.0,97.81513644852663,52.545508029200164,13.340464279262951,871f1d48cffffff,"[52.55574928705948, 13.335643865826528]",43,59,1.778407696250636
41,127,63.672373139310665,69.0880693734849,69.0880693734849,100.0,72.06552537213787,52.48652903020229,13.434846640101739,871f1d4d2ffffff,"[52.49354154204223, 13.447052745473286]",73,73,1.7078481170871136
42,124,71.2312806466506,77.72151198394094,77.72151198394094,100.0,97.75374387066988,52.444778427182825,13.32580549208701,871f18b30ffffff,"[52.45269901504103, 13.34359835695238]",24,27,2.2451156686451723
43,280,58.594028052851286,69.02580167868643,69.02580167868643,100.0,72.08119438942974,52.46841138827466,13.442900048905603,871f18b2effffff,"[52.49354154204223, 13.447052745473286]",23,73,4.215886812917577
44,66,60.695966246936784,68.60164403010673,68.60164403010673,100.0,70.06080675061264,52.48204844036103,13.382538425552806,871f18b24ffffff,"[52.47097073792449, 13.35994956957977]",16,18,2.952838891584973
45,74,60.01199999999997,72.20944575189615,72.20944575189615,100.0,75.0,52.552564331689354,13.285801862439293,871f1d485ffffff,"[52.55574928705948, 13.335643865826528]",37,59,5.098722875948094
46,252,59.104317198737824,66.59066662285007,66.59066662285007,100.0,63.97913656025243,52.53353740793639,13.356497746726465,871f1d48cffffff,"[52.52141790152521, 13.33829806832828]",43,45,2.7431747120561174
47,19,60.001999999999995,72.19944575189618,72.19944575189618,100.0,74.0,52.552564331689354,13.285801862439293,871f1d485ffffff,"[52.55574928705948, 13.335643865826528]",37,59,5.098722875948094
48,88,61.95965224510398,68.22250089064646,68.88168233104773,100.0,66.74378010234334,52.51795693589331,13.392475676827411,871f1d48bffffff,"[52.5257475440694, 13.409062493613757]",42,40,2.131424322771238
49,210,62.18319095375228,67.75230220244809,67.75230220244809,100.0,64.49733964443712,52.48993759007483,13.430562389510436,871f1d4d2ffffff,"[52.49354154204223, 13.447052745473286]",73,73,1.7845556243479077
50,237,65.14526450492176,70.40109691259761,70.40109691259761,100.0,68.37094709901565,52.461528757868386,13.355948948783555,871f18b26ffffff,"[52.47097073792449, 13.35994956957977]",18,18,1.6279162038379305
51,75,56.47118358652909,67.90987621244115,67.90987621244115,100.0,64.10576328269418,52.553934655156795,13.41268918156505,871f1d4f6ffffff,"[52.5257475440694, 13.409062493613757]",88,40,4.719346312956029
52,144,60.46965542283819,69.73241811872339,69.73241811872339,100.0,66.30606891543236,52.49272543929789,13.359574512023567,871f18b24ffffff,"[52.47097073792449, 13.35994956957977]",16,18,3.6313813479426003
53,73,60.010999999999974,72.20844575189616,72.20844575189616,100.0,71.0,52.552564331689354,13.285801862439293,871f1d485ffffff,"[52.55574928705948, 13.335643865826528]",37,59,5.098722875948094
54,121,85.8477791794342,89.04504669747266,89.04504669747266,100.0,97.23044416411317,52.51809851250407,13.340524307758335,871f1d48effffff,"[52.52141790152521, 13.33829806832828]",45,45,0.5986337590192277
55,133,62.34712492084392,72.29618795897366,72.29618795897366,100.0,70.33057501583122,52.51634420656692,13.45829158915378,871f1d4d0ffffff,"[52.49354154204223, 13.447052745473286]",71,73,3.97453151906487
56,140,70.44046154279047,78.31070804537165,89.48219176562932,100.0,97.5119076914419,52.49904289184854,13.419687686419277,871f18b25ffffff,"[52.49354154204223, 13.447052745473286]",17,73,2.9351232512905945
57,24,70.44919838327243,73.64075309289863,73.64075309289863,100.0,70.11016032334551,52.55705227152076,13.330191846280437,871f1d4aaffffff,"[52.55574928705948, 13.335643865826528]",59,59,0.5957773548131011
58,220,67.21153671201351,72.43420942919848,72.43420942919848,100.0,68.12165863936724,52.53511809572204,13.405257698044014,871f1d489ffffff,"[52.5257475440694, 13.409062493613757]",40,40,1.6113363585924838
