,id,origin,destination,origin_zone,mode,destination_zone,arrival_time,pickup_time,waiting_time
0,"(1, 88)","[52.55981580161351, 13.402903082605363]","[52.56603221265881, 13.414560782174245]",88,finished,88,[1.34482329],8.291073256665776,[6.94624997]
1,"(1, 52)","[52.49072012831965, 13.27200728370927]","[52.49191805345182, 13.291767576632985]",52,finished,48,[2.9608078],8.619512776084258,[5.65870498]
2,"(2, 75)","[52.52896788940833, 13.462044400616962]","[52.518608948281006, 13.43569346121223]",75,finished,75,[2.5298982],8.374103048196657,[5.84420485]
3,"(2, 77)","[52.50157353260015, 13.415555720654789]","[52.50950522107935, 13.422203337701779]",77,finished,77,[4.28847236],12.272624977701625,[7.98415262]
4,"(1, 17)","[52.492145412377845, 13.401015268236694]","[52.48337054264127, 13.434358124720973]",17,finished,73,[3.88198973],8.732369197756412,[4.85037947]
5,"(1, 77)","[52.506068817570025, 13.433594041262172]","[52.53599425379068, 13.418667860441031]",77,finished,40,[1.57102667],5.718765603443505,[4.14773894]
6,"(1, 13)","[52.46839146465216, 13.429390819915389]","[52.489426816113024, 13.408594378425681]",13,finished,17,[2.62774837],8.215561737958952,[5.58781336]
7,"(1, 59)","[52.55599119150756, 13.319746960521794]","[52.54881111230463, 13.337410834965407]",59,finished,59,[9.67358748],12.670808708074757,[2.99722123]
8,"(1, 75)","[52.51713947824956, 13.460618732680096]","[52.52135204703651, 13.41143981553143]",75,finished,40,[1.92496983],7.4822609501085955,[5.55729112]
9,"(2, 13)","[52.46399118920898, 13.426679499659619]","[52.46021992830312, 13.446241856960212]",13,finished,23,[9.59074678],13.888346875373568,[4.2976001]
10,"(1, 40)","[52.53031851736135, 13.39600514469202]","[52.553493876035674, 13.415593845093289]",40,finished,85,[3.59159906],9.444540653802033,[5.85294159]
11,"(1, 23)","[52.4554925066383, 13.44270061989772]","[52.45130738636505, 13.433141071870036]",23,finished,23,[9.75787797],16.552636038122884,[6.79475807]
12,"(1, 45)","[52.511015436100315, 13.354990155417244]","[52.497033430987955, 13.421500901818966]",45,finished,17,[1.61547821],5.6987303045947915,[4.0832521]
13,"(1, 42)","[52.49931048449541, 13.389961949030805]","[52.50063307234369, 13.34311333974044]",42,finished,41,[2.04896791],10.648564559099489,[8.59959665]
14,"(1, 33)","[52.53418990721592, 13.272068908085656]","[52.523726750990754, 13.300369827029577]",33,finished,36,[6.31989237],13.878378710603485,[7.55848634]
15,"(4, 40)","[52.522904079143395, 13.415321985674943]","[52.519737508608976, 13.427535876062924]",40,finished,75,[15.82494584],19.214843876546123,[3.38989804]
16,"(2, 41)","[52.49563441506276, 13.367780997857686]","[52.49664286988586, 13.321466863549608]",41,finished,53,[9.63176604],12.646815484466835,[3.01504944]
17,"(1, 43)","[52.53455596462817, 13.363017035564694]","[52.56001000796645, 13.334876950158531]",43,finished,59,[6.06118741],11.979733147888158,[5.91854573]
18,"(2, 76)","[52.524139239041276, 13.485092433048495]","[52.52750919432978, 13.457453250012314]",76,finished,75,[10.98355183],16.675760637024194,[5.69220881]
