,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,"(7, 0, 48, 3, 0, 1)","(6, 0, 45, 3, 0, 0)","(9, 1, 43, 3, 0, 0)","(4, 3, 53, 3, 0, 0)","(9, 6, 53, 3, 1, 0)","(9, 6, 18, 3, 0, 0)","(9, 7, 27, 3, 1, 0)","(9, 7, 26, 2, 0, 0)","(9, 8, 26, 3, 0, 0)","(9, 8, 53, 3, 0, 2)","(9, 9, 45, 3, 0, 1)","(9, 9, 49, 3, 0, 1)","(8, 10, 39, 3, 0, 1)","(9, 11, 41, 3, 0, 2)",,
1,4,2,3,0,3,1,0,4,2,1,0,2,1,2,,
2,15.409451418987512,7.306077281518215,4.555445431851249,-11.11506594014251,12.403888570562827,-1.912800996656026,5.4192913712677955,10.271734913855422,-2.807173450026678,6.534348744719994,7.181507020775503,22.68738185496581,2.5987934914126356,21.400510022312865,,
0,"(6, 1, 39, 3, 0, 1)","(9, 2, 42, 3, 1, 0)","(9, 3, 41, 3, 1, 0)","(4, 4, 53, 3, 0, 0)","(9, 6, 53, 3, 1, 1)","(4, 7, 53, 3, 1, 0)","(4, 7, 41, 3, 1, 0)","(9, 10, 41, 3, 0, 1)","(9, 10, 27, 3, 1, 0)",,,,,,,
1,2,4,3,2,2,3,1,4,1,,,,,,,
2,6.915306683924252,5.0,9.7073565307301,-10.726926085245916,5.9768350857054795,9.271524448328798,-1.198039026350001,13.522585461050108,17.052327157660677,,,,,,,
0,"(6, 0, 53, 3, 0, 0)","(9, 1, 18, 3, 0, 0)","(9, 1, 13, 3, 1, 0)","(9, 2, 36, 3, 0, 0)","(9, 3, 51, 3, 0, 0)","(9, 4, 28, 2, 0, 0)","(9, 5, 3, 2, 0, 0)","(9, 5, 27, 3, 1, 0)","(9, 6, 27, 3, 1, 0)","(9, 7, 48, 2, 0, 0)","(8, 7, 71, 3, 0, 1)","(9, 8, 42, 3, 0, 1)","(9, 9, 73, 3, 0, 1)","(8, 9, 35, 2, 0, 0)",,
1,0,0,0,1,4,0,3,0,2,1,0,4,0,0,,
2,5.052730050518981,14.451746487096406,28.518827076698862,15.664915927104156,5.0,-2.848514148003513,10.785827300929203,10.24228385091323,11.55904604471274,12.547163750704495,4.359441352628867,19.886856119047305,20.918551382553353,1.2433685139023147,,
0,"(7, 1, 28, 3, 0, 0)","(7, 2, 28, 2, 0, 0)","(7, 3, 28, 2, 0, 0)","(4, 5, 53, 3, 0, 0)","(4, 6, 53, 3, 0, 1)","(4, 6, 48, 3, 1, 0)","(9, 7, 49, 3, 0, 1)","(9, 8, 53, 3, 0, 1)","(9, 8, 49, 3, 0, 2)","(9, 9, 53, 3, 0, 1)","(9, 10, 17, 3, 1, 2)","(8, 10, 44, 3, 1, 2)",,,,
1,1,3,2,3,0,2,0,0,0,2,4,2,,,,
2,-0.0,-0.0,19.83219823618709,-0.0,7.308017955952912,-5.140418989156519,4.013075770115819,5.257215778315976,4.851959663591739,15.915583269742838,13.425809346791162,10.3339233864439,,,,
0,"(7, 1, 20, 2, 0, 0)","(7, 2, 20, 2, 0, 0)","(6, 3, 20, 1, 0, 0)","(5, 4, 18, 3, 0, 0)","(5, 4, 45, 3, 0, 1)","(9, 6, 53, 3, 1, 1)","(9, 7, 62, 3, 0, 0)","(9, 7, 65, 3, 0, 0)","(9, 8, 52, 3, 0, 1)","(9, 9, 83, 3, 0, 0)","(8, 10, 14, 3, 1, 1)",,,,,
1,3,4,0,4,0,0,4,1,0,1,3,,,,,
2,-0.0,-0.0,37.13909014345647,21.14018515809454,-9.173562894262068,6.403942438061886,7.0592724125960356,15.073226882832344,30.066385244309195,29.36085313293115,28.150692193278957,,,,,
0,"(7, 1, 54, 3, 0, 0)","(5, 2, 23, 3, 0, 0)","(9, 4, 75, 3, 0, 1)","(9, 5, 86, 3, 0, 0)","(9, 5, 85, 3, 1, 0)","(9, 5, 75, 3, 1, 1)","(9, 6, 76, 1, 0, 0)","(8, 6, 71, 3, 0, 0)","(8, 7, 76, 3, 0, 0)","(9, 8, 21, 3, 0, 1)","(4, 10, 85, 3, 0, 1)",,,,,
1,1,2,4,4,4,4,1,4,2,3,2,,,,,
2,50.619864246838624,0.5830352440771411,-0.0,5.0,8.239727482351675,-0.0,22.577222811346445,7.323192109179084,6.465490230892183,30.283914336319597,11.67585205430599,,,,,
0,"(6, 0, 42, 3, 0, 0)","(9, 1, 44, 3, 0, 1)","(9, 2, 36, 3, 0, 0)","(9, 3, 17, 3, 0, 1)","(9, 5, 74, 3, 0, 0)","(9, 5, 83, 3, 0, 0)","(9, 6, 88, 3, 1, 1)","(8, 7, 66, 1, 0, 0)","(9, 9, 34, 3, 0, 1)","(9, 9, 73, 3, 0, 0)",,,,,,
1,2,2,1,2,0,0,0,0,2,4,,,,,,
2,-1.365091753207891,19.004254222376254,30.33072686538859,-3.9205552003323465,24.485098801736854,1.6021511744440242,36.59424362415079,3.1596680449691483,10.801388300347329,14.883955182654667,,,,,,
0,"(7, 1, 55, 3, 0, 0)","(4, 2, 53, 3, 0, 0)","(9, 5, 41, 3, 0, 0)","(9, 6, 53, 3, 1, 1)","(9, 6, 18, 3, 0, 0)","(9, 8, 52, 3, 1, 0)","(4, 10, 60, 3, 0, 1)","(4, 11, 77, 3, 0, 1)",,,,,,,,
1,2,1,1,0,1,3,3,0,,,,,,,,
2,18.58715201226378,1.8712923090631506,-3.4573176132670334,11.695592895445532,15.092937254074364,16.893244353558202,14.658031505149768,-7.050720842544493,,,,,,,,
0,"(7, 1, 61, 3, 0, 0)","(8, 3, 77, 3, 1, 1)","(9, 3, 19, 1, 1, 0)","(9, 4, 27, 3, 0, 0)","(9, 5, 25, 2, 1, 0)","(4, 8, 49, 3, 1, 1)",,,,,,,,,,
1,0,0,2,0,3,0,,,,,,,,,,
2,40.24117843668887,11.76184338540059,15.343405268559739,5.6786595835293046,30.153331338735892,-6.10712249604455,,,,,,,,,,
0,"(7, 1, 56, 3, 0, 0)","(6, 1, 16, 3, 0, 0)","(6, 2, 16, 3, 0, 0)","(6, 2, 17, 3, 1, 0)","(9, 4, 72, 3, 0, 0)","(9, 5, 59, 3, 0, 0)","(9, 6, 55, 1, 0, 0)","(9, 7, 55, 1, 0, 0)","(9, 7, 45, 3, 0, 1)","(4, 8, 40, 3, 0, 1)","(4, 9, 53, 3, 0, 1)","(3, 10, 74, 3, 0, 1)","(2, 10, 40, 3, 0, 2)",,,
1,4,3,3,1,0,0,0,4,3,1,3,3,2,,,
2,27.144783658983336,-0.0,10.124124877297684,0.09017418350409123,32.64535502704614,5.481104133955033,1.2609386092120083,18.552985042809745,21.04300165318642,12.488348200656429,31.302016905031273,25.138753425016084,8.346963410742315,,,
0,"(7, 1, 3, 3, 0, 0)","(7, 2, 3, 3, 0, 0)","(6, 3, 39, 3, 0, 0)","(9, 4, 53, 3, 0, 0)","(9, 4, 48, 3, 1, 0)","(9, 5, 77, 3, 0, 0)","(4, 7, 86, 3, 0, 0)","(3, 8, 15, 3, 0, 0)","(9, 9, 16, 3, 0, 0)","(4, 10, 51, 3, 1, 1)",,,,,,
1,4,3,2,1,1,3,4,2,3,2,,,,,,
2,-0.0,31.11903469957516,-7.7546437039797125,5.455871315513099,11.015324055240988,18.511087136968346,28.533594822357,-6.759327253946243,17.651119019553022,-5.5075773967865995,,,,,,
0,"(7, 1, 60, 3, 0, 0)","(6, 2, 44, 3, 0, 0)","(9, 4, 39, 3, 0, 1)","(9, 5, 53, 3, 0, 0)","(9, 6, 53, 3, 1, 1)","(9, 6, 36, 3, 1, 1)","(9, 7, 65, 3, 0, 0)","(9, 9, 65, 3, 0, 1)",,,,,,,,
1,0,0,1,1,0,4,1,2,,,,,,,,
2,2.6062919354014165,5.292071897113104,3.790772228115881,-2.372356552924504,2.8385709313312617,5.756173031492992,19.74024033740647,34.53321569282312,,,,,,,,
0,"(6, 1, 52, 3, 1, 1)","(6, 1, 43, 3, 0, 0)","(9, 3, 59, 3, 0, 0)","(9, 3, 71, 3, 0, 0)","(8, 4, 13, 3, 0, 0)","(8, 4, 17, 3, 0, 0)","(4, 7, 21, 3, 0, 0)","(4, 7, 71, 3, 0, 1)","(9, 8, 42, 3, 0, 2)","(9, 9, 71, 3, 0, 1)",,,,,,
1,0,0,4,4,4,3,3,0,4,3,,,,,,
2,13.999299574261139,-8.15129150905296,33.0026719330475,11.128034007341661,9.528253056774663,21.487532304707358,6.317701070551422,-4.399706051122517,16.79523682887979,17.160175906280276,,,,,,
0,"(6, 0, 77, 3, 0, 0)","(9, 3, 17, 3, 1, 0)","(9, 4, 18, 3, 0, 0)","(9, 4, 14, 3, 0, 1)","(9, 5, 53, 3, 1, 0)","(4, 6, 39, 3, 0, 1)","(9, 7, 75, 3, 0, 1)","(9, 9, 45, 3, 0, 1)",,,,,,,,
1,1,0,2,0,3,2,1,0,,,,,,,,
2,-7.435070239804085,6.990867357711722,3.0531483005981994,16.13422455929998,10.277350546483383,-4.3238218452926125,27.101537912882026,15.024402029457546,,,,,,,,
0,"(7, 1, 20, 3, 0, 0)","(6, 1, 51, 3, 0, 0)","(6, 2, 77, 3, 1, 1)","(9, 3, 23, 3, 0, 0)","(4, 5, 23, 1, 0, 0)","(3, 6, 75, 3, 1, 1)","(9, 7, 40, 3, 0, 0)","(9, 8, 88, 3, 0, 1)","(9, 8, 77, 3, 0, 1)","(9, 9, 73, 3, 0, 1)","(9, 9, 13, 3, 0, 0)","(9, 10, 75, 3, 1, 1)",,,,
1,1,3,2,3,3,0,0,0,2,0,2,1,,,,
2,20.978554496488822,23.100695369323354,0.860211500525434,10.596593126312992,25.179924670496035,-9.854718974041706,10.278523806200658,16.28825298478597,3.468216806149092,7.504112887753312,5.8152228849879135,0.020870708595940535,,,,
0,"(7, 1, 58, 3, 0, 0)","(6, 1, 76, 2, 0, 0)","(9, 4, 75, 3, 0, 0)","(9, 4, 69, 3, 0, 0)","(9, 5, 18, 3, 0, 0)","(4, 6, 23, 2, 0, 0)","(9, 10, 88, 3, 0, 1)",,,,,,,,,
1,4,1,1,2,3,1,0,,,,,,,,,
2,21.193719806905918,8.095047844557905,1.5573753889929085,5.18755187410033,29.321770469727113,10.824363265894902,31.539127165020098,,,,,,,,,
0,"(7, 1, 84, 3, 0, 0)","(4, 3, 41, 3, 1, 0)","(4, 3, 53, 3, 0, 0)","(9, 7, 21, 3, 0, 0)","(9, 8, 75, 3, 1, 1)","(8, 9, 75, 3, 0, 1)",,,,,,,,,,
1,2,3,0,0,1,3,,,,,,,,,,
2,25.024598572841555,11.737530777339506,23.610192438548275,15.766272416440321,21.57694243279783,28.655251178194472,,,,,,,,,,
0,"(7, 1, 25, 3, 0, 0)","(8, 3, 57, 1, 0, 0)","(8, 4, 40, 3, 0, 1)","(4, 5, 71, 3, 0, 0)","(9, 6, 74, 3, 0, 0)","(9, 7, 73, 3, 0, 1)","(9, 7, 71, 3, 1, 0)","(9, 8, 88, 3, 1, 0)","(8, 8, 59, 3, 0, 1)","(4, 9, 60, 3, 0, 1)","(4, 9, 43, 3, 0, 1)","(9, 10, 36, 3, 0, 0)",,,,
1,0,4,3,2,1,0,4,0,3,4,0,2,,,,
2,41.47756850906025,20.823088883170637,9.162908449605332,-7.7068295606703705,10.723339940924273,11.210047371497865,16.523856586798814,10.778538311944013,18.588284837005798,7.822328277075987,-2.2276695479106756,12.49692836307373,,,,
0,"(7, 1, 25, 3, 0, 0)","(9, 3, 27, 3, 0, 0)","(9, 4, 27, 3, 1, 0)","(9, 5, 27, 3, 0, 0)","(9, 5, 42, 3, 0, 1)","(9, 7, 17, 3, 1, 0)","(9, 7, 44, 3, 1, 0)","(9, 8, 43, 3, 1, 1)","(9, 8, 71, 3, 0, 1)","(9, 9, 40, 3, 0, 2)",,,,,,
1,0,3,3,4,0,0,4,2,0,3,,,,,,
2,-6.159901883732081,-0.0,-0.0,20.97501136167917,-2.3805843656552077,13.51564457835065,5.840430491234446,2.0097657991623588,6.870429754395041,18.48831537339514,,,,,,
0,"(7, 0, 68, 2, 0, 0)","(9, 2, 74, 3, 0, 1)","(9, 3, 73, 3, 0, 0)","(9, 4, 74, 3, 0, 0)","(8, 4, 40, 3, 0, 0)","(8, 5, 60, 2, 0, 1)","(4, 6, 59, 3, 0, 0)","(9, 7, 39, 3, 0, 0)","(9, 8, 49, 3, 0, 1)","(8, 8, 75, 3, 0, 1)","(7, 9, 49, 3, 0, 1)",,,,,
1,0,2,4,1,4,3,2,1,4,2,0,,,,,
2,8.011380901800468,4.364880778358442,-0.0,10.939842655259229,15.613998200801351,8.303326900910367,-3.192617360960769,11.919784270137113,25.80386754203733,19.372579433005015,7.7129291182019575,,,,,
