,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,"{'vehicle_id': 175, 'time_send': 22.586440248703312, 'time_enter': 31.278864081784363, 'time_start': 31.278864081784363, 'SOC_end': 100.0, 'SOC_send': 67.08271195025934, 'lat': 52.47471793815941, 'long': 13.327699015837478, 'v_hex': '871f1d49bffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 51, 'CS_position': 18, 'distance': 3.3462119165405264}"
16,
17,
18,
19,
20,
21,
22,"{'vehicle_id': 199, 'time_send': 30.80274263272306, 'time_enter': 34.34974572269325, 'time_start': 34.34974572269325, 'SOC_end': 100.0, 'SOC_send': 66.43945147345538, 'lat': 52.525871435227614, 'long': 13.340398082589504, 'v_hex': '871f1d48effffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 45, 'CS_position': 45, 'distance': 0.7735015449850935}"
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,"{'vehicle_id': 64, 'time_send': 38.061121388126864, 'time_enter': 50.250561125273215, 'time_start': 50.250561125273215, 'SOC_end': 100.0, 'SOC_send': 68.38777572237463, 'lat': 52.46304042903401, 'long': 13.44894149865103, 'v_hex': '871f18b2effffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 23, 'CS_position': 73, 'distance': 5.094719868573176}"
34,
35,
36,"{'vehicle_id': 0, 'time_send': 46.35636500487649, 'time_enter': 51.51213881604822, 'time_start': 51.51213881604822, 'SOC_end': 100.0, 'SOC_send': 69.05453090123211, 'lat': 52.53006665964189, 'long': 13.332041591190533, 'v_hex': '871f1d48effffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 45, 'CS_position': 45, 'distance': 1.5778869055858666}"
37,"{'vehicle_id': 148, 'time_send': 48.15913951569098, 'time_enter': 53.595695914784315, 'time_start': 53.595695914784315, 'SOC_end': 100.0, 'SOC_send': 64.63326203043212, 'lat': 52.51356819779773, 'long': 13.327380853878513, 'v_hex': '871f1d48effffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 45, 'CS_position': 45, 'distance': 1.7182781995466667}"
38,"{'vehicle_id': 78, 'time_send': 53.17327035350017, 'time_enter': 62.86808978916041, 'time_start': 62.86808978916041, 'SOC_end': 100.0, 'SOC_send': 67.36534592929996, 'lat': 52.546171096994044, 'long': 13.370037861579371, 'v_hex': '871f1d48cffffff', 'CS_location': [52.55574928705948, 13.335643865826528], 'v_position': 43, 'CS_position': 59, 'distance': 3.847409717830117}"
39,
