,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,"(7, 1, 20, 3, 0, 0)","(6, 2, 20, 2, 0, 0)","(5, 3, 36, 3, 0, 0)","(4, 4, 36, 3, 1, 0)","(9, 6, 45, 3, 0, 0)","(9, 7, 45, 3, 0, 0)","(9, 7, 71, 3, 1, 1)","(4, 9, 49, 3, 1, 1)","(9, 10, 58, 3, 1, 0)",,,,,,,
1,1,2,3,2,4,0,3,1,1,,,,,,,
2,-0.0,56.12137556242627,17.675981263098166,-13.00607856320958,-0.0,17.995391225158517,25.79132512991087,13.33797996963327,22.32288065266072,,,,,,,
0,"(6, 0, 59, 3, 0, 1)","(9, 1, 42, 3, 0, 0)","(9, 2, 77, 3, 1, 0)","(4, 5, 75, 3, 0, 1)","(9, 6, 39, 3, 1, 0)","(9, 6, 71, 3, 0, 0)","(4, 7, 23, 3, 0, 0)",,,,,,,,,
1,0,4,2,1,1,3,0,,,,,,,,,
2,14.292735803973226,-0.0,23.767188224824743,-4.611098419883266,8.022054876583972,21.651097315278594,29.131915622768705,,,,,,,,,
0,"(7, 1, 84, 3, 0, 0)","(4, 3, 86, 3, 0, 0)","(4, 4, 71, 3, 0, 0)","(9, 7, 23, 3, 0, 0)","(8, 8, 11, 1, 0, 0)","(8, 9, 88, 3, 0, 2)","(8, 10, 13, 3, 0, 1)","(4, 11, 16, 3, 1, 2)",,,,,,,,
1,2,4,0,4,0,1,3,3,,,,,,,,
2,-1.6930957602398573,11.016729219753131,6.752206319085921,14.433684956392973,31.823162208241424,21.398986980533074,24.958704628226496,12.044993587732884,,,,,,,,
0,"(7, 1, 54, 2, 0, 0)","(5, 2, 23, 2, 1, 0)","(5, 2, 20, 1, 1, 0)","(9, 3, 12, 3, 0, 1)","(4, 6, 77, 3, 0, 0)","(9, 7, 13, 3, 0, 1)",,,,,,,,,,
1,4,3,2,3,2,4,,,,,,,,,,
2,50.10106532436341,5.035118342186173,-1.6906039707622185,19.63103180620466,-1.5808102994624802,32.85216676816478,,,,,,,,,,
0,"(6, 0, 53, 3, 0, 1)","(9, 1, 42, 3, 0, 1)","(9, 2, 42, 3, 0, 0)","(4, 4, 18, 3, 0, 0)","(9, 6, 18, 3, 0, 0)","(9, 6, 7, 3, 0, 0)","(9, 7, 48, 3, 1, 0)","(9, 8, 40, 3, 0, 1)","(9, 9, 40, 3, 1, 0)",,,,,,,
1,1,0,2,0,1,2,0,0,3,,,,,,,
2,1.0443044180567664,-2.024139177720961,17.579414524773497,-9.47994026128804,19.717190934941925,8.924412114336667,20.08203030483211,6.439648157880239,15.2232447355841,,,,,,,
0,"(7, 1, 67, 2, 0, 0)","(6, 1, 76, 2, 0, 0)","(9, 4, 77, 3, 0, 0)","(9, 4, 73, 3, 0, 0)","(9, 5, 71, 3, 0, 0)","(9, 6, 77, 3, 0, 0)","(9, 6, 72, 3, 0, 0)","(9, 7, 21, 3, 1, 0)","(9, 8, 85, 3, 0, 1)","(9, 8, 39, 3, 1, 1)","(9, 9, 45, 3, 0, 1)","(9, 9, 58, 3, 0, 1)","(8, 10, 45, 3, 0, 1)",,,
1,0,2,4,4,1,1,1,0,1,4,0,0,4,,,
2,5.41977976798761,-11.54060217820142,8.190414734012332,7.181018636129329,-4.263431482080231,12.133512432493188,5.362256998481097,19.936376888600268,4.05660984805116,7.404539425568051,7.81284102278869,11.947440817430826,17.731451212761144,,,
0,"(6, 0, 75, 3, 0, 0)","(9, 1, 73, 3, 0, 1)","(4, 3, 77, 3, 1, 0)","(4, 4, 77, 3, 0, 0)","(9, 5, 40, 3, 0, 1)","(9, 5, 83, 3, 0, 0)","(9, 7, 42, 3, 1, 1)","(9, 8, 85, 3, 0, 1)","(9, 9, 13, 3, 1, 1)","(9, 9, 73, 3, 0, 0)","(8, 10, 73, 3, 0, 3)","(7, 10, 45, 3, 0, 1)",,,,
1,2,3,3,0,2,0,2,1,4,4,1,0,,,,
2,4.422901903677465,5.597379580823019,-0.0,10.66511061287214,6.04491188547385,20.154730439328723,13.140809450039638,13.607084663949095,6.548755993583675,18.489599901079742,23.48553805924738,8.706220130529772,,,,
0,"(6, 0, 77, 2, 0, 1)","(6, 0, 85, 3, 0, 1)","(6, 1, 85, 3, 0, 0)","(6, 1, 75, 3, 0, 0)","(5, 2, 85, 3, 1, 0)","(5, 2, 40, 3, 0, 0)","(4, 3, 60, 3, 0, 0)","(9, 4, 59, 3, 0, 0)","(9, 5, 59, 3, 0, 0)","(9, 6, 59, 3, 0, 0)","(9, 7, 59, 3, 0, 0)","(9, 7, 88, 3, 0, 1)","(9, 8, 73, 3, 1, 1)","(8, 9, 49, 3, 1, 1)",,
1,3,3,3,1,3,3,0,3,0,4,0,0,1,3,,
2,13.467162683018131,11.669272833686422,10.009877757842498,9.7145681186355,9.817465657990144,14.620609930226294,-9.322872596361355,-0.0,-1.2640832467795702,-0.0,13.635455292913745,18.014618886290165,15.578093688484742,26.09975353560815,,
0,"(5, 2, 47, 1, 0, 0)","(9, 5, 35, 3, 0, 1)","(4, 7, 48, 3, 1, 1)","(4, 7, 51, 3, 0, 1)","(9, 10, 25, 3, 0, 1)",,,,,,,,,,,
1,1,3,4,1,1,,,,,,,,,,,
2,1.135598143812139,12.557318117560929,6.933729206968892,-10.09540530039927,20.525390857020643,,,,,,,,,,,
0,"(6, 0, 49, 3, 0, 1)","(6, 0, 36, 3, 0, 0)","(9, 2, 41, 3, 0, 1)","(4, 4, 45, 3, 1, 0)","(4, 5, 45, 3, 0, 0)","(4, 6, 45, 3, 0, 0)","(4, 7, 45, 3, 0, 0)","(4, 7, 34, 3, 1, 0)","(9, 8, 88, 3, 0, 0)","(9, 9, 53, 3, 0, 2)",,,,,,
1,3,1,3,2,1,2,4,1,0,3,,,,,,
2,8.304258879916324,4.87671485334861,3.947473340220329,-0.0,-0.0,-0.0,6.910244149587884,-6.7454273579848305,24.82082905486909,21.767644931467057,,,,,,
0,"(6, 0, 40, 3, 0, 0)","(6, 1, 40, 3, 1, 0)","(6, 1, 40, 3, 0, 0)","(9, 3, 77, 3, 0, 0)","(9, 4, 77, 3, 0, 0)","(9, 5, 77, 3, 1, 0)","(9, 6, 77, 3, 0, 0)","(9, 7, 77, 3, 1, 0)","(4, 9, 45, 3, 0, 2)","(3, 10, 36, 3, 0, 0)","(9, 11, 50, 3, 0, 1)",,,,,
1,3,0,0,4,4,4,1,2,1,2,4,,,,,
2,-0.0,5.75315832083306,-6.714207296597239,-0.0,-0.0,-0.0,-0.0,30.967493590834046,12.779726034983726,-2.254450241837196,9.024417525021462,,,,,
0,"(7, 1, 84, 3, 0, 0)","(4, 3, 86, 3, 0, 0)","(4, 4, 86, 3, 0, 0)","(4, 4, 40, 3, 1, 0)","(9, 6, 75, 3, 0, 0)","(4, 7, 77, 3, 1, 0)","(4, 7, 72, 2, 0, 0)","(3, 8, 71, 3, 1, 0)","(3, 8, 71, 3, 1, 1)","(3, 9, 42, 3, 1, 1)",,,,,,
1,2,3,3,2,2,2,0,3,3,1,,,,,,
2,-1.9988957602398574,-0.0,25.086772501806152,-10.688480909696155,6.98065794724228,20.70005383497338,4.953679538954033,13.994076425539795,12.122146715026975,0.5845995272345199,,,,,,
0,"(7, 1, 10, 2, 0, 0)","(8, 3, 40, 3, 0, 1)","(9, 4, 77, 3, 0, 0)","(9, 5, 77, 3, 1, 0)","(9, 6, 77, 3, 0, 0)","(9, 7, 77, 3, 1, 0)","(4, 9, 16, 3, 0, 1)","(9, 10, 43, 3, 0, 0)","(9, 11, 40, 3, 1, 1)",,,,,,,
1,0,0,1,4,1,2,0,2,4,,,,,,,
2,33.41968667553999,-2.696063693707816,-0.0,-0.0,-0.0,23.064114075319615,4.667211030824045,14.91553965035586,9.563800355066462,,,,,,,
0,"(6, 1, 51, 3, 0, 0)","(6, 1, 51, 3, 0, 0)","(6, 2, 51, 3, 0, 0)","(9, 3, 18, 3, 0, 0)","(4, 5, 77, 3, 0, 0)","(3, 6, 49, 3, 1, 0)","(3, 6, 53, 3, 0, 1)","(8, 10, 51, 3, 0, 0)",,,,,,,,
1,3,3,0,2,3,4,1,0,,,,,,,,
2,6.391975261225784,-0.0,-8.970145696586316,26.58823647967071,26.475976928186807,10.787425639914446,10.64719967968405,0.7953123338790045,,,,,,,,
0,"(7, 1, 55, 3, 0, 0)","(3, 2, 13, 3, 1, 1)","(3, 3, 85, 3, 0, 1)","(9, 5, 40, 3, 0, 1)","(9, 5, 39, 3, 1, 0)","(8, 6, 49, 3, 0, 1)","(9, 6, 18, 3, 0, 1)","(9, 7, 51, 3, 0, 0)","(9, 7, 18, 3, 0, 1)","(9, 8, 51, 3, 0, 1)","(9, 8, 16, 3, 1, 1)","(9, 10, 26, 3, 0, 1)","(8, 10, 13, 3, 0, 1)",,,
1,2,3,2,4,4,1,1,1,1,4,1,4,4,,,
2,36.958722453643,23.961637435858616,0.5443543778804614,5.0,11.111014468387175,1.2748785240032383,8.96268041649654,6.046353703312279,3.8009757616045152,21.80151962435872,21.72711412184151,18.220074996901317,11.297612930376033,,,
0,"(7, 1, 67, 2, 0, 0)","(6, 2, 80, 2, 1, 0)","(6, 3, 80, 1, 0, 0)","(5, 3, 86, 3, 0, 0)","(5, 4, 71, 3, 0, 0)","(8, 6, 54, 2, 0, 0)","(7, 7, 34, 3, 0, 0)","(4, 8, 57, 2, 0, 0)","(9, 9, 36, 3, 0, 1)","(9, 10, 87, 3, 0, 1)","(9, 10, 44, 3, 0, 0)","(8, 11, 40, 3, 0, 1)",,,,
1,4,3,0,3,0,4,3,2,2,1,4,1,,,,
2,-0.0,-0.0,13.66335596205843,12.708604236459484,37.82797372564934,27.595790917459002,11.237777701694531,-7.246901971300357,13.066985556456524,4.7891507334268235,11.418434590777366,9.344671378154617,,,,
0,"(7, 1, 7, 3, 0, 0)","(4, 3, 12, 3, 1, 0)","(4, 4, 12, 3, 0, 0)","(9, 7, 25, 3, 0, 0)",,,,,,,,,,,,
1,2,1,0,3,,,,,,,,,,,,
2,0.3365629449840388,-0.0,-4.134072821530518,16.231722462372726,,,,,,,,,,,,
0,"(6, 1, 75, 3, 0, 0)","(9, 3, 77, 3, 0, 0)","(9, 4, 77, 3, 0, 0)","(4, 6, 77, 3, 0, 0)","(4, 7, 77, 3, 1, 0)","(4, 7, 22, 3, 0, 0)","(4, 8, 76, 2, 0, 0)","(3, 8, 73, 3, 1, 0)","(9, 9, 77, 3, 0, 2)","(9, 10, 77, 3, 0, 3)","(4, 11, 75, 3, 0, 1)",,,,,
1,2,3,2,2,4,4,3,0,2,3,2,,,,,
2,-7.947342266246881,-0.0,6.096123618850954,-0.0,17.89433140822835,15.316065005350872,7.254742216080922,-7.350569717535339,10.95237784266561,19.373031977733838,16.51219908579094,,,,,
0,"(6, 0, 35, 3, 0, 0)","(9, 2, 3, 2, 0, 0)","(9, 3, 27, 3, 0, 0)","(8, 4, 44, 3, 0, 0)","(8, 5, 35, 3, 0, 0)","(6, 6, 68, 1, 0, 0)","(6, 7, 76, 3, 0, 0)","(5, 7, 76, 3, 0, 0)","(5, 8, 77, 3, 0, 1)","(4, 8, 85, 3, 0, 1)",,,,,,
1,0,0,4,4,4,3,3,2,2,1,,,,,,
2,8.088128992806737,14.590140195029234,28.45172560002823,26.534252774051367,53.85563717956302,13.185984566730468,12.03419125289466,4.121394995820545,9.422628250548565,3.592043972258321,,,,,,
0,"(7, 0, 88, 3, 0, 0)","(9, 2, 88, 3, 1, 0)","(9, 2, 71, 3, 0, 1)","(8, 4, 27, 2, 0, 0)","(8, 4, 48, 3, 0, 0)","(9, 5, 77, 3, 1, 0)","(9, 6, 77, 3, 1, 0)","(8, 6, 11, 1, 0, 0)","(9, 8, 39, 3, 1, 0)","(8, 8, 73, 3, 1, 1)","(8, 9, 13, 3, 0, 0)",,,,,
1,0,1,1,2,0,4,1,1,4,2,3,,,,,
2,-5.820418196540983,24.358262923119106,33.1638108222248,8.297627453915947,13.63825784415304,-0.0,26.004894735724502,33.96654360789772,13.674749122019463,13.075331529583682,27.309674201920807,,,,,
0,"(6, 0, 61, 3, 0, 0)","(9, 2, 59, 3, 0, 0)","(9, 3, 59, 3, 0, 0)","(9, 4, 59, 3, 0, 0)","(9, 5, 59, 3, 0, 0)","(9, 6, 59, 3, 0, 0)","(9, 7, 59, 3, 0, 0)","(9, 8, 52, 3, 0, 0)","(9, 9, 48, 3, 1, 1)","(8, 9, 35, 3, 0, 1)","(8, 11, 59, 3, 0, 0)",,,,,
1,2,4,4,3,0,4,0,0,4,0,2,,,,,
2,-6.542751343180846,-0.0,-0.0,-0.0,-1.2853332317151183,-0.0,14.109144127481303,24.00068389473599,11.610944802971463,23.49111566194606,9.443999320084977,,,,,
0,"(7, 1, 84, 3, 0, 0)","(4, 3, 86, 3, 0, 0)","(4, 4, 86, 3, 0, 0)","(4, 4, 37, 2, 0, 1)","(9, 6, 85, 3, 1, 0)","(9, 6, 43, 3, 0, 1)","(9, 7, 59, 3, 0, 0)","(9, 8, 39, 3, 0, 1)","(4, 9, 3, 2, 0, 0)","(3, 10, 15, 3, 0, 1)","(2, 10, 52, 3, 0, 0)",,,,,
1,2,4,1,2,4,4,0,3,4,3,1,,,,,
2,-1.6930957602398573,-0.0,35.51255558646203,7.962245662308881,12.593081230231583,-0.0,5.896332838312539,18.95122159764535,21.639340414320465,33.84025586407742,16.020781540790814,,,,,
0,"(6, 0, 65, 1, 0, 1)","(9, 2, 59, 3, 0, 0)","(9, 3, 59, 3, 0, 0)","(9, 4, 59, 3, 0, 0)","(9, 5, 59, 3, 0, 0)","(9, 6, 59, 3, 0, 0)","(9, 7, 59, 3, 0, 0)","(9, 8, 41, 3, 0, 1)",,,,,,,,
