,0
0,
1,
2,
3,
4,"{'vehicle_id': 2, 'time_send': 15.997432820684919, 'time_enter': 20.475271159940945, 'time_start': 20.475271159940945, 'SOC_end': 87.1794938347769, 'SOC_send': 71.80051343586302, 'lat': 52.52406487423097, 'long': 13.397210126793668, 'v_hex': '871f1d489ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 40, 'CS_position': 40, 'distance': 1.2389191696280126}"
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,"{'vehicle_id': 271, 'time_send': 30.836836289484264, 'time_enter': 42.40235947767884, 'time_start': 42.40235947767884, 'SOC_end': 100.0, 'SOC_send': 70.23263274210315, 'lat': 52.501412078992814, 'long': 13.384268032137609, 'v_hex': '871f1d48bffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 42, 'CS_position': 40, 'distance': 4.782761594097288}"
15,
16,
17,
18,
19,
20,
21,"{'vehicle_id': 5, 'time_send': 40.572591088925186, 'time_enter': 49.09967021217567, 'time_start': 49.09967021217567, 'SOC_end': 100.0, 'SOC_send': 68.42710603700698, 'lat': 52.55916234988928, 'long': 13.367230922465989, 'v_hex': '871f1d4abffffff', 'CS_location': [52.55574928705948, 13.335643865826528], 'v_position': 60, 'CS_position': 59, 'distance': 3.263539561625242}"
22,"{'vehicle_id': 268, 'time_send': 44.781356230968804, 'time_enter': 48.729667105645035, 'time_start': 48.729667105645035, 'SOC_end': 100.0, 'SOC_send': 68.84372875380625, 'lat': 52.51994595812402, 'long': 13.410103110466206, 'v_hex': '871f1d489ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 40, 'CS_position': 40, 'distance': 0.9741554373381152}"
23,"{'vehicle_id': 115, 'time_send': 58.54284024386847, 'time_enter': 63.98368486044545, 'time_start': 63.98368486044545, 'SOC_end': 100.0, 'SOC_send': 66.8914319512263, 'lat': 52.515583005826194, 'long': 13.406261641143361, 'v_hex': '871f1d489ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 40, 'CS_position': 40, 'distance': 1.7204223082884917}"
24,"{'vehicle_id': 127, 'time_send': 63.672373139310665, 'time_enter': 69.0880693734849, 'time_start': 69.0880693734849, 'SOC_end': 100.0, 'SOC_send': 72.06552537213787, 'lat': 52.48652903020229, 'long': 13.434846640101739, 'v_hex': '871f1d4d2ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 73, 'CS_position': 73, 'distance': 1.7078481170871136}"
25,
