,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,"{'vehicle_id': 57, 'time_send': 17.022231247178517, 'time_enter': 25.296092225348787, 'time_start': 25.296092225348787, 'SOC_end': 100.0, 'SOC_send': 69.9955537505643, 'lat': 52.47942964859941, 'long': 13.426721149301109, 'v_hex': '871f18b21ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 13, 'CS_position': 73, 'distance': 3.1369304890851337}"
15,"{'vehicle_id': 40, 'time_send': 21.80785287837983, 'time_enter': 28.70908253446156, 'time_start': 28.70908253446156, 'SOC_end': 100.0, 'SOC_send': 69.03842942432404, 'lat': 52.53054418905405, 'long': 13.319442121283073, 'v_hex': '871f1d481ffffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 34, 'CS_position': 45, 'distance': 2.4506148280408655}"
16,"{'vehicle_id': 55, 'time_send': 25.459682489768085, 'time_enter': 30.443069834092043, 'time_start': 30.443069834092043, 'SOC_end': 100.0, 'SOC_send': 68.90806350204637, 'lat': 52.484608568087985, 'long': 13.44748384817503, 'v_hex': '871f1d4d2ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 73, 'CS_position': 73, 'distance': 1.49169367216198}"
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,"{'vehicle_id': 70, 'time_send': 52.51468031774424, 'time_enter': 57.98314174419361, 'time_start': 57.98314174419361, 'SOC_end': 100.0, 'SOC_send': 65.62084509428222, 'lat': 52.532621235590085, 'long': 13.396287592083125, 'v_hex': '871f1d48dffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 44, 'CS_position': 40, 'distance': 1.7342307132246852}"
29,
30,
31,
32,
33,
34,
35,
36,
37,"{'vehicle_id': 193, 'time_send': 48.44397594972469, 'time_enter': 56.55743609284504, 'time_start': 56.55743609284504, 'SOC_end': 100.0, 'SOC_send': 68.71120481005505, 'lat': 52.50744689701998, 'long': 13.407959424269244, 'v_hex': '871f1d48bffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 42, 'CS_position': 40, 'distance': 3.0567300715601746}"
38,
39,"{'vehicle_id': 3, 'time_send': 56.12426941907289, 'time_enter': 62.429049312432156, 'time_start': 62.429049312432156, 'SOC_end': 100.0, 'SOC_send': 66.68534490660296, 'lat': 52.5248482405851, 'long': 13.358677165864291, 'v_hex': '871f1d488ffffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 39, 'CS_position': 45, 'distance': 2.152389946679632}"
