,id,origin,destination,origin_zone,mode,destination_zone,arrival_time,pickup_time,waiting_time
0,"(1, 60)","[52.56806514291531, 13.360692527829995]","[52.55830168304693, 13.367084406050447]",60,finished,60,[0.08198294],4.24737006134678,[4.16538712]
1,"(1, 77)","[52.51746919943732, 13.430718089535766]","[52.52365300677804, 13.402004455162912]",77,finished,40,[0.59952384],5.776608726624886,[5.17708489]
2,"(1, 43)","[52.52845027434939, 13.355748863864516]","[52.53278297666041, 13.354177858485299]",43,finished,45,[6.84911648],10.968938294098969,[4.11982181]
3,"(1, 67)","[52.542730460877344, 13.526725793280502]","[52.538966170836396, 13.523992103302023]",67,finished,67,3.1577457616542377,11.584043604228246,8.426297842574009
4,"(1, 23)","[52.44804417962058, 13.457446606857069]","[52.46692967818876, 13.456035231434306]",23,finished,23,[3.6500393],7.079082830543047,[3.42904353]
5,"(1, 75)","[52.52713320815157, 13.435925426023616]","[52.547298544101494, 13.435099604757488]",75,finished,85,[2.04149737],7.112174212904871,[5.07067685]
6,"(1, 15)","[52.44987560754344, 13.396899071490244]","[52.45813069165663, 13.415058520948845]",15,finished,15,[4.45430536],9.481742932934127,[5.02743757]
7,"(1, 40)","[52.53295288153158, 13.402461663732062]","[52.5531814941797, 13.394231969393429]",40,finished,44,[1.73943517],8.187037294793504,[6.44760213]
8,"(1, 45)","[52.51056093963197, 13.323857684311662]","[52.49391659570415, 13.313528057506588]",45,finished,53,[4.69520284],10.704886372508359,[6.00968353]
9,"(1, 53)","[52.507282538303635, 13.331102226071232]","[52.510729299407586, 13.289234030508235]",53,finished,36,[2.89989503],9.71817530537304,[6.81828028]
10,"(3, 52)","[52.50378296244424, 13.294194445724338]","[52.50370981863631, 13.290805991620903]",52,finished,52,[10.6505371],17.893643355319593,[7.24310626]
11,"(1, 59)","[52.5640964245249, 13.33319495481766]","[52.56606474447458, 13.367965793840932]",59,finished,57,[3.25440152],11.540377671044329,[8.28597615]
12,"(1, 58)","[52.57579751444295, 13.376965695974741]","[52.54852485140746, 13.348543515527304]",58,finished,43,[3.93297706],9.051744681197848,[5.11876762]
13,"(1, 33)","[52.542284794568275, 13.290331772981455]","[52.510424057600346, 13.270396107677607]",33,finished,35,[3.47263427],9.429588032133452,[5.95695376]
14,"(1, 73)","[52.502260215814196, 13.439191403719375]","[52.51516831881621, 13.405371164880112]",73,finished,42,[9.48097734],12.83784551171961,[3.35686817]
15,"(2, 77)","[52.51376112576165, 13.423761570728868]","[52.49796375728779, 13.343836958566541]",77,finished,41,[1.45404875],4.297142862636191,[2.84309411]
16,"(1, 85)","[52.534237464289696, 13.440291550512782]","[52.513405314836774, 13.426444540689866]",85,finished,77,[9.25866685],14.190894270434391,[4.93222742]
17,"(1, 39)","[52.517886985870874, 13.389831760972388]","[52.535014938154234, 13.365178453955217]",39,finished,43,[6.97404028],15.321290137079675,[8.34724986]
18,"(1, 18)","[52.46020059136959, 13.368023960885633]","[52.49254831896483, 13.335258241747798]",18,finished,49,[3.29568961],10.53847849046483,[7.24278888]
19,"(1, 16)","[52.493409275634484, 13.362391984586292]","[52.51267943785933, 13.326586408012362]",16,finished,53,[7.8482117],13.687594269504494,[5.83938257]
20,"(1, 17)","[52.49198479853539, 13.402476323915554]","[52.53077648609697, 13.371276865598556]",17,finished,39,[4.31989093],9.25722053778724,[4.93732961]
21,"(3, 85)","[52.54673903352362, 13.434960414861793]","[52.552380291047854, 13.43621679453687]",85,finished,85,[19.58229287],22.18891897176912,[2.6066261]
22,"(2, 52)","[52.50368270820765, 13.276127638225393]","[52.51424208102692, 13.315350581332314]",52,finished,53,[10.5152603],15.778776874910784,[5.26351657]
23,"(2, 40)","[52.5309586355631, 13.401981352215877]","[52.55791772423947, 13.383980455922615]",40,finished,60,[7.42370214],14.848828937088843,[7.4251268]
24,"(4, 52)","[52.50611673921999, 13.273235187697287]","[52.498588391293815, 13.278176505150327]",52,finished,52,[17.19170209],22.592987671850175,[5.40128558]
25,"(1, 42)","[52.5059548381327, 13.387794884619431]","[52.53421506737617, 13.410376349570209]",42,finished,85,[11.81868089],15.31651496040319,[3.49783407]
26,"(3, 17)","[52.49194004911607, 13.396151187781973]","[52.50389361788437, 13.39581854828347]",17,finished,42,[19.9424364],23.60874229835354,[3.6663059]
27,"(2, 53)","[52.498802092238066, 13.328599504637552]","[52.52412969048115, 13.288252461208462]",53,finished,36,[8.25520328],15.966948838127337,[7.71174556]
28,"(3, 77)","[52.50198175725594, 13.425006003328162]","[52.49699382692328, 13.402485350021914]",77,finished,42,[18.56978484],23.014994339860692,[4.4452095]
29,"(2, 42)","[52.50522942613063, 13.408840164635366]","[52.5357359741607, 13.409747557182557]",42,finished,40,[12.98439739],18.4721801383853,[5.48778275]
30,"(2, 43)","[52.53831897132578, 13.369168529105343]","[52.553842462853154, 13.423339817341134]",43,finished,85,[11.51957433],17.251480131878147,[5.7319058]
31,"(5, 77)","[52.50916809786229, 13.427950805105477]","[52.50374418765149, 13.441946554548887]",77,finished,77,[20.00825578],26.452222394016612,[6.44396662]
32,"(1, 13)","[52.47263919756756, 13.436273747889118]","[52.51562980248814, 13.45345265340786]",13,finished,71,[9.00862204],15.211034602658232,[6.20241256]
33,"(2, 17)","[52.485390777626336, 13.413902420850821]","[52.500159808715466, 13.416951161869148]",17,finished,17,[19.04751158],25.20235274505162,[6.15484117]
34,"(4, 77)","[52.510126362712604, 13.438883860791005]","[52.51776477908315, 13.471798318432572]",77,finished,71,[18.74936986],23.92753334457861,[5.17816348]
35,"(1, 51)","[52.46192994739177, 13.322371525613967]","[52.49007585157621, 13.300533526441935]",51,finished,48,[12.41059716],20.815338203129514,[8.40474104]
36,"(2, 13)","[52.467309009310426, 13.413702155868345]","[52.48312089692846, 13.443992305010417]",13,finished,73,[17.46638607],23.227973963103857,[5.76158789]
37,"(1, 52)","[52.50263239892332, 13.284657201032612]","[52.557328757268074, 13.337766638270908]",52,finished,59,[5.32909627],10.445251076911413,[5.1161548]
38,"(2, 36)","[52.5122517449803, 13.2918870417999]","[52.523327148928004, 13.330531557494428]",36,finished,45,[17.98649782],24.791994881218642,[6.80549706]
39,"(4, 42)","[52.51125298064455, 13.4036941562216]","[52.5079510758029, 13.434236148621789]",42,finished,77,[20.83433013],28.32768855835266,[7.49335843]
40,"(1, 36)","[52.50872884178876, 13.319163036524664]","[52.458951704177345, 13.36903020391592]",36,finished,14,[10.4447129],15.571591949094723,[5.12687905]
41,"(1, 68)","[52.521135542233644, 13.50510315172298]","[52.52446570505622, 13.467479053726413]",68,finished,76,[23.79790072],28.46230394099409,[4.66440322]
42,"(3, 40)","[52.53593674437447, 13.396635728259648]","[52.555187970448706, 13.410097665543764]",40,finished,88,[23.75441715],29.331996821711744,[5.57757967]
43,"(2, 45)","[52.52028559481146, 13.354056817497895]","[52.536121255252446, 13.427040381055413]",45,finished,40,[15.90464298],20.55923134515416,[4.65458836]
44,"(4, 53)","[52.49173541465588, 13.309075006157544]","[52.49973946035852, 13.324216197031939]",53,finished,53,[25.06758407],32.79716815988754,[7.72958409]
45,"(6, 13)","[52.480936635246564, 13.430452755004081]","[52.49169635446259, 13.448193128868839]",13,finished,73,[26.08145117],31.99327144182726,[5.91182027]
46,"(2, 51)","[52.47985798196064, 13.334493134642127]","[52.51185554047466, 13.328954993019261]",51,finished,53,[23.69965236],26.406507138868587,[2.70685478]
47,"(3, 53)","[52.51421035236733, 13.30688879832047]","[52.508614337038665, 13.367276645185962]",53,finished,41,[19.56466466],25.038105314519157,[5.47344065]
48,"(5, 17)","[52.49505295029661, 13.419517103863411]","[52.49277791107023, 13.41626817047731]",17,finished,17,[31.13661023],37.53017305820621,[6.39356282]
49,"(2, 75)","[52.519746764894826, 13.454927266914979]","[52.51753741140399, 13.441344061637476]",75,finished,75,[28.50449656],35.697278793161914,[7.19278223]
50,"(2, 56)","[52.577656735746935, 13.267455412145049]","[52.59210095385234, 13.300506228250761]",56,finished,55,[25.33200605],30.441253767243225,[5.10924772]
51,"(2, 44)","[52.532757280133374, 13.37606519603721]","[52.56284187434516, 13.355147397424787]",44,finished,60,[23.02811423],28.223271216087724,[5.19515698]
52,"(5, 13)","[52.48272853308766, 13.417838422250048]","[52.51157998699135, 13.410544682483364]",13,finished,77,[25.12489137],30.02622222473091,[4.90133086]
53,"(2, 16)","[52.4920650600269, 13.376920251481254]","[52.533934681472324, 13.399508656720506]",16,finished,44,[19.97690436],25.236118875786623,[5.25921452]
54,"(3, 42)","[52.51373466178247, 13.385258888051027]","[52.470429806695684, 13.444811975995163]",42,finished,13,[15.24537623],21.92135655533525,[6.67598033]
55,"(4, 85)","[52.534794443745206, 13.419815860314303]","[52.48768769721944, 13.40536837596444]",85,finished,17,[19.73058633],25.08553346895779,[5.35494714]
56,"(3, 51)","[52.478312407248424, 13.330445519816076]","[52.4916488150362, 13.350381927755466]",51,finished,49,[30.00060557],35.14066930841122,[5.14006374]
57,"(3, 13)","[52.46953632310888, 13.426044821428416]","[52.48370129908391, 13.35734150235094]",13,finished,49,[21.95892295],26.716524524889152,[4.75760158]
58,"(1, 14)","[52.45039617890468, 13.370648600407044]","[52.47841016135029, 13.3272092296955]",14,finished,49,[22.58767767],28.863443712688607,[6.27576604]
