,id,origin,destination,origin_zone,mode,destination_zone,arrival_time,pickup_time,waiting_time
40,"(2, 16)","[52.48543978029613, 13.37407942434265]","[52.51095494381004, 13.342751911319144]",16,finished,41,[12.6603787],19.281627679419262,[6.62124898]
41,"(1, 60)","[52.56530110052106, 13.366334405148939]","[52.5257995207944, 13.368439516562695]",60,finished,39,[10.03003479],17.25511402134908,[7.22507923]
42,"(1, 16)","[52.48040311449447, 13.3741392381421]","[52.50046923747773, 13.292475495391269]",16,finished,52,[4.03310646],12.698890562894437,[8.6657841]
43,"(1, 21)","[52.47877584125968, 13.45389210976433]","[52.430241669391144, 13.406880678698604]",21,finished,7,[5.70899895],11.854372851964744,[6.1453739]
44,"(3, 43)","[52.54699042763506, 13.358124359757474]","[52.52649159487098, 13.378479327327591]",43,finished,39,[17.01286634],22.824322505027705,[5.81145616]
45,"(1, 58)","[52.58013502184959, 13.381063767246665]","[52.574507220140575, 13.376372014167465]",58,finished,58,[24.47529636],29.02821495294697,[4.55291859]
46,"(3, 40)","[52.52341323907735, 13.393931350533087]","[52.570503432716734, 13.405389915904443]",40,finished,88,[10.40943775],15.488802553147483,[5.0793648]
47,"(1, 13)","[52.47228720603807, 13.437822950367018]","[52.52881731766013, 13.445036700123236]",13,finished,75,[6.41428997],12.846548366221354,[6.4322584]
48,"(1, 37)","[52.555922945899624, 13.294122693078645]","[52.48186387074402, 13.302296872822906]",37,finished,48,[2.37302584],7.028171391125618,[4.65514555]
49,"(4, 60)","[52.55819544104848, 13.36870135399949]","[52.55751060470185, 13.422925791174105]",60,finished,88,[13.50307085],20.935778741168768,[7.43270789]
50,"(1, 64)","[52.527399988720596, 13.174816106126908]","[52.51920296543956, 13.200573100096104]",64,finished,47,[4.03333292],26.118745249975237,[22.08541233]
51,"(5, 73)","[52.50099242802069, 13.438885402005731]","[52.48920778606679, 13.452094040184775]",73,finished,73,[18.54087297],27.687848456305467,[9.14697548]
52,"(4, 73)","[52.48905165713118, 13.431220813351812]","[52.51154624286925, 13.481939314268622]",73,finished,72,[14.40774952],19.95410135923553,[5.54635184]
53,"(1, 18)","[52.474889031846175, 13.371586268295035]","[52.48944658567242, 13.367579119865187]",18,finished,16,[18.11579635],28.43584435220471,[10.320048]
54,"(2, 43)","[52.53850600664049, 13.33816441135603]","[52.57554825029851, 13.312686397007694]",43,finished,61,[15.95664365],20.146945418608503,[4.19030177]
55,"(2, 21)","[52.48718573775087, 13.46363075565433]","[52.47174672828762, 13.416546556437158]",21,finished,13,[15.24158371],23.8122943568734,[8.57071065]
56,"(3, 41)","[52.51135184836753, 13.345179444867979]","[52.497332317353084, 13.360554470611756]",41,finished,16,[25.8955453],29.297222291586106,[3.40167699]
57,"(2, 53)","[52.51004805184315, 13.318686036577668]","[52.501465496992466, 13.398732085616475]",53,finished,17,[15.78606814],19.13273197935525,[3.34666384]
58,"(4, 71)","[52.5207033199884, 13.461493352053427]","[52.493625620323705, 13.439383752146147]",71,finished,73,[20.76155079],25.941089035133203,[5.17953824]
59,"(1, 55)","[52.59551713483647, 13.288353721654362]","[52.53034885647017, 13.374057797383319]",55,finished,39,[1.72875237],8.553855828740316,[6.82510346]
60,"(2, 42)","[52.50587716700947, 13.388700246204726]","[52.53429671801689, 13.405145851395758]",42,finished,40,[18.59336771],26.386378581633664,[7.79301087]
61,"(2, 41)","[52.50452495923301, 13.373901886068372]","[52.47509514244458, 13.369056139946835]",41,finished,18,[20.64208055],28.0131589568105,[7.37107841]
62,"(3, 82)","[52.48771336400194, 13.526020462608956]","[52.51782405118991, 13.515664013675648]",82,finished,72,[23.02197095],27.744647282180352,[4.72267634]
63,"(1, 34)","[52.531613681998046, 13.328359389345849]","[52.52438797103016, 13.179957042105938]",34,finished,64,[3.3098295],8.087773751035057,[4.77794425]
64,"(7, 73)","[52.504914290307525, 13.444469935364026]","[52.51948023469276, 13.456210568803243]",73,finished,71,[24.79643298],33.49364764023603,[8.69721466]
65,"(3, 75)","[52.519381688650725, 13.458105171215674]","[52.534953524112716, 13.412667005720492]",75,finished,85,[25.68027546],29.49281887999801,[3.81254342]
66,"(1, 63)","[52.55064820276049, 13.213455541730767]","[52.510319744659526, 13.310937616792987]",63,finished,36,[0.52543528],16.357186394805222,[15.83175111]
67,"(2, 22)","[52.48805367214957, 13.49891599192205]","[52.514266329037994, 13.464161451218258]",22,finished,71,[25.06410485],29.398425823700485,[4.33432097]
68,"(1, 41)","[52.504572007128424, 13.352673149954617]","[52.443576246635374, 13.394092179339031]",41,finished,14,[12.47062111],18.621663671411667,[6.15104256]
69,"(1, 86)","[52.54039345921451, 13.462870816203772]","[52.52995357981995, 13.398031131389827]",86,finished,40,[23.38349539],27.52013744655219,[4.13664206]
70,"(2, 75)","[52.52803719359674, 13.446620690168466]","[52.48614561590216, 13.422631190190563]",75,finished,17,[23.83791144],28.934205164628334,[5.09629373]
71,"(5, 13)","[52.47247060727263, 13.442189339649707]","[52.47268385684484, 13.418859096375488]",13,finished,13,[32.67376495],39.081311234471514,[6.40754628]
72,"(2, 61)","[52.560648851924725, 13.315459951992674]","[52.55996049097732, 13.347647891660214]",61,finished,59,[28.46675456],37.482546503037725,[9.01579194]
73,"(2, 83)","[52.56039514944185, 13.439453474521706]","[52.560055575387125, 13.406845628711455]",83,finished,88,[32.70592003],37.62296464987256,[4.91704462]
74,"(4, 13)","[52.471862444487535, 13.440322222755457]","[52.49693764139967, 13.390514782112955]",13,finished,16,[24.48257339],31.116544473473386,[6.63397108]
75,"(1, 47)","[52.52153838670221, 13.202791101276269]","[52.523334640707844, 13.341557872810458]",47,finished,45,[0.40756988],16.495334674532828,[16.0877648]
76,"(2, 27)","[52.46319016527682, 13.352262954685857]","[52.441875631198506, 13.354369555207262]",27,finished,27,[27.33793634],37.79443864979902,[10.45650231]
77,"(1, 83)","[52.565435806824574, 13.447012433452633]","[52.551987271912935, 13.400491352932685]",83,finished,88,[31.52294507],34.59734388992496,[3.07439882]
78,"(2, 63)","[52.55018114020518, 13.229703663261693]","[52.47533125888366, 13.299173193525624]",63,finished,48,[3.73080188],16.70080445401601,[12.97000258]
79,"(1, 62)","[52.55141622951367, 13.198531742215303]","[52.55712026263491, 13.202577005604597]",62,finished,62,[25.47870421],43.34504368303501,[17.86633947]
80,"(6, 13)","[52.46842841106202, 13.441665513994904]","[52.452610612721756, 13.449775217952158]",13,finished,23,[33.4686299],40.290510965445634,[6.82188107]
81,"(5, 39)","[52.52271480173837, 13.379148990201747]","[52.53295891716219, 13.40676146482138]",39,finished,40,[28.35110403],39.35349106849239,[11.00238704]
82,"(1, 88)","[52.57059704862234, 13.397705552204298]","[52.526162159142835, 13.396295740312546]",88,finished,40,[24.87886317],31.230329494517328,[6.35146632]
83,"(3, 39)","[52.53372667425485, 13.378593096929736]","[52.51195186509458, 13.432962931115163]",39,finished,77,[25.20230324],32.867235437659446,[7.6649322]
84,"(3, 49)","[52.49479771479836, 13.330291884764055]","[52.47859650332293, 13.387015130272573]",49,finished,16,[27.18107853],33.403201082901795,[6.22212255]
85,"(4, 39)","[52.52965281251262, 13.365199151676464]","[52.50744689701998, 13.407959424269244]",39,finished,42,[26.88975187],35.00803096792144,[8.1182791]
86,"(4, 41)","[52.49650211565207, 13.356399020155907]","[52.51102113744432, 13.346888246085145]",41,finished,41,[34.2436816],41.27679285068882,[7.03311125]
87,"(1, 4)","[52.42560325885656, 13.24111551512387]","[52.4389037161449, 13.366879183165857]",4,finished,25,[12.06270306],20.97798497132104,[8.91528191]
88,"(7, 71)","[52.52238775549979, 13.459351042606711]","[52.50866450608656, 13.48988800281853]",71,finished,72,[32.6468419],39.6196355173545,[6.97279362]
89,"(3, 27)","[52.458884600248254, 13.331541374316812]","[52.46181598863033, 13.327807282048688]",27,finished,27,[35.27777417],46.427781673783514,[11.1500075]
90,"(2, 65)","[52.537171117902126, 13.22640405062828]","[52.5243765002634, 13.256714933852846]",65,finished,35,[29.46896027],40.50587817636107,[11.03691791]
91,"(5, 43)","[52.53153695602448, 13.3592106886677]","[52.50364815926334, 13.399996683125007]",43,finished,42,[29.64072896],35.92943919804271,[6.28871024]
92,"(1, 17)","[52.48353208895644, 13.411456812191346]","[52.492519687146654, 13.334303546606256]",17,finished,49,[24.88547346],32.94024468321414,[8.05477122]
93,"(5, 71)","[52.50656518144247, 13.455403573061327]","[52.53900282870578, 13.424350179310748]",71,finished,85,[27.35304112],36.47320622751432,[9.12016511]
94,"(3, 53)","[52.504079024221085, 13.309416886815274]","[52.49198712809528, 13.424558564098437]",53,finished,17,[19.05353182],25.414698543543057,[6.36116672]
95,"(6, 43)","[52.540349755533576, 13.369516004784678]","[52.53903105122091, 13.325600381266405]",43,finished,34,[30.29992539],40.294727437137404,[9.99480205]
96,"(3, 60)","[52.554845161114976, 13.382535323771645]","[52.47411592364086, 13.441738300894807]",60,finished,13,[10.45367369],19.95485278251989,[9.50117909]
97,"(3, 22)","[52.48147876559987, 13.495457693311176]","[52.500287248571816, 13.458645599001601]",22,finished,73,[35.2776541],40.07357703303201,[4.79592294]
98,"(2, 12)","[52.47610715437199, 13.38356050174641]","[52.4472425534961, 13.3510862252928]",12,finished,25,[30.22159689],38.34041902947509,[8.11882214]
99,"(7, 13)","[52.482172508910004, 13.43348744919305]","[52.49458431992619, 13.391865947530876]",13,finished,16,[36.37360298],40.616331810920514,[4.24272883]
100,"(3, 88)","[52.569072755249366, 13.394137734766073]","[52.532621235590085, 13.396287592083125]",88,finished,44,[33.11524469],38.338084517573954,[5.22283983]
101,"(2, 82)","[52.48810928152096, 13.52577714390989]","[52.46543358647667, 13.36820046388101]",82,finished,14,[13.91376838],17.648450295801567,[3.73468191]
102,"(8, 71)","[52.50627457207444, 13.467018491658223]","[52.51089582166567, 13.480189671519767]",71,finished,71,[37.57618497],47.687172626330835,[10.11098766]
103,"(2, 18)","[52.463714904463885, 13.367496532542342]","[52.4541938923727, 13.362572204409897]",18,finished,14,[39.71547054],47.774107556219505,[8.05863702]
104,"(3, 13)","[52.465311802882376, 13.446161009794693]","[52.54419161379323, 13.415106201634035]",13,finished,85,[18.47957666],24.720152235795332,[6.24057558]
105,"(4, 49)","[52.49806162546129, 13.347611676117944]","[52.49488010118339, 13.274453119004598]",49,finished,52,[30.57318276],36.94666879077584,[6.37348603]
106,"(2, 88)","[52.56704935679668, 13.4242819061556]","[52.51370814368534, 13.461182443657457]",88,finished,71,[25.23190496],32.666715509259625,[7.43481055]
107,"(1, 30)","[52.452392955894894, 13.521745316866529]","[52.51505595751122, 13.416229709732052]",30,finished,77,17.154255674629923,22.112391593599465,4.958135918969543
108,"(3, 37)","[52.54367866858051, 13.307984658629477]","[52.44481962281938, 13.277466703225615]",37,finished,3,[11.8228329],18.68719471535553,[6.86436181]
109,"(5, 37)","[52.564166094014176, 13.303534516527701]","[52.54113407147436, 13.372804971605245]",37,finished,44,[28.4493394],36.38056303170441,[7.93122363]
110,"(6, 73)","[52.495900545792146, 13.441220260684503]","[52.549535217316766, 13.350671026261827]",73,finished,43,[19.42924406],27.229627080028635,[7.80038302]
111,"(1, 3)","[52.43868353413009, 13.274704720224548]","[52.46647178766119, 13.284899553639264]",3,finished,50,[37.78268043],43.56935087037541,[5.78667044]
112,"(2, 23)","[52.45295402189891, 13.463719481858432]","[52.497662189486995, 13.449902204366005]",23,finished,73,[27.74263311],38.14451830105592,[10.40188519]
113,"(6, 39)","[52.52287524409465, 13.388041385479879]","[52.5248482405851, 13.358677165864291]",39,finished,39,[41.19216222],48.10894760819514,[6.91678539]
114,"(1, 61)","[52.57424789804624, 13.3040845099524]","[52.50458423902274, 13.391693426919051]",61,finished,42,[16.78250504],25.154203804058398,[8.37169876]
115,"(1, 57)","[52.5729161844727, 13.337815924174972]","[52.5336189886361, 13.35970038286478]",57,finished,43,[35.29489073],41.06605225297559,[5.77116152]
116,"(3, 21)","[52.48688111406372, 13.459239439929776]","[52.47377008171596, 13.397470818242166]",21,finished,12,[36.93785082],41.650334243665235,[4.71248342]
117,"(1, 25)","[52.44411993290576, 13.379090416057368]","[52.4654873203084, 13.429149770784175]",25,finished,13,[38.11854605],43.85208316467732,[5.73353712]
118,"(4, 43)","[52.54093825657477, 13.351522751220374]","[52.501063198440754, 13.491551964088345]",43,finished,74,[21.07762042],24.876041803275765,[3.79842138]
119,"(4, 27)","[52.449665175248654, 13.329426411832582]","[52.4838839474142, 13.355796978275313]",27,finished,49,[35.34674146],44.06371961931933,[8.71697816]
120,"(4, 77)","[52.51936642145899, 13.437499725560231]","[52.5200009348237, 13.385741478782979]",77,finished,39,[37.15960781],46.16997267934939,[9.01036487]
121,"(4, 53)","[52.50582478030785, 13.307954895796735]","[52.54302365314667, 13.35080970691089]",53,finished,43,[35.66174415],41.624961244027766,[5.9632171]
122,"(1, 35)","[52.51389142285434, 13.257198416037628]","[52.522399590130696, 13.213266949035301]",35,finished,65,[40.56294862],48.18315861700131,[7.62021]
123,"(6, 71)","[52.50953443881136, 13.479430542758147]","[52.52841598879188, 13.38255007158513]",71,finished,39,[29.57326396],36.948680042839285,[7.37541608]
