,id,origin,destination,origin_zone,mode,destination_zone,arrival_time,pickup_time,waiting_time
0,"(1, 77)","[52.51528470189801, 13.411233244410917]","[52.51527822099795, 13.41296583545492]",77,finished,77,[4.0330894],10.722758576383805,[6.68966918]
1,"(1, 44)","[52.55235816720627, 13.381067992843942]","[52.545903779237456, 13.384131535876097]",44,finished,44,[5.37737195],9.744371512816382,[4.36699956]
2,"(1, 41)","[52.500002892821136, 13.343122165424075]","[52.4894072912031, 13.333969459284273]",41,finished,49,[0.24280874],8.565140096382859,[8.32233136]
3,"(1, 86)","[52.55362136740173, 13.478918403487002]","[52.55481830489448, 13.476490626662184]",86,finished,86,[8.1032768],13.315440888393102,[5.21216408]
4,"(1, 18)","[52.460293679013894, 13.37526708691189]","[52.47982662731647, 13.362723389095008]",18,finished,16,[2.95400071],7.507672975762148,[4.55367227]
5,"(2, 53)","[52.513060247708424, 13.305241116068057]","[52.4988605414107, 13.309865425366056]",53,finished,53,[3.54838279],9.904191248980677,[6.35580846]
6,"(2, 71)","[52.506677514605244, 13.446958518912428]","[52.524223879696756, 13.445516210140271]",71,finished,75,[3.4949326],9.09802413011905,[5.60309153]
7,"(2, 52)","[52.49125759661092, 13.284653027520772]","[52.492257141874695, 13.31078875419563]",52,finished,53,[2.9545812],11.009272521836005,[8.05469132]
8,"(3, 71)","[52.506751032086356, 13.473917471695728]","[52.495690594453606, 13.483717624906994]",71,finished,74,[8.96166224],13.31523888197136,[4.35357664]
9,"(1, 39)","[52.53048538126705, 13.385031716924793]","[52.53251412829029, 13.426236830724731]",39,finished,40,[0.57566864],9.392100131415292,[8.8164315]
10,"(1, 71)","[52.51069000322151, 13.479407794896153]","[52.52290617950779, 13.425152826244583]",71,finished,40,[2.06548948],7.262567540574146,[5.19707806]
11,"(1, 74)","[52.49223470309846, 13.471081608734952]","[52.50294081443515, 13.43726544919946]",74,finished,73,[4.04984053],12.246743611410675,[8.19690308]
12,"(1, 27)","[52.45230063195514, 13.33460457886885]","[52.453632620544866, 13.281334679068758]",27,finished,3,[5.65213686],9.99384918308336,[4.34171232]
13,"(3, 53)","[52.50085179416853, 13.318266131577756]","[52.49435110483084, 13.332333302370245]",53,finished,53,[11.96522316],18.775379759235495,[6.81015659]
14,"(1, 53)","[52.497289155504234, 13.314198997261212]","[52.458937289793376, 13.279396969451891]",53,finished,50,[0.12642406],8.403711538313875,[8.27728748]
15,"(1, 60)","[52.56899820160508, 13.361059105267882]","[52.53214037635617, 13.365912889508337]",60,finished,43,[5.09047032],11.029593514596371,[5.9391232]
16,"(1, 45)","[52.52319692889366, 13.326840125285687]","[52.526112262966144, 13.345604753069784]",45,finished,45,[13.9377799],19.639429577952537,[5.70164968]
17,"(1, 57)","[52.56939780346958, 13.33943991969331]","[52.52899756265862, 13.358591442954987]",57,finished,43,[3.38309363],10.526228552014423,[7.14313492]
18,"(2, 16)","[52.482396298612194, 13.388934468945195]","[52.480962796822496, 13.394195013064362]",16,finished,16,[12.05933308],23.505210440997466,[11.44587736]
19,"(1, 13)","[52.48247277264357, 13.426630719639835]","[52.46377275562491, 13.460692106014024]",13,finished,23,[10.30919883],15.57923867191905,[5.27003984]
20,"(2, 73)","[52.495757503736584, 13.431017543397521]","[52.51460713750645, 13.385020132720374]",73,finished,42,[8.84335307],13.648979778846355,[4.80562671]
21,"(1, 52)","[52.491556496816884, 13.280180957085454]","[52.457245425369024, 13.337801260413617]",52,finished,27,[2.71482834],8.562516891328421,[5.84768855]
22,"(1, 49)","[52.497982435221445, 13.353593503650977]","[52.506934262984835, 13.401501614068316]",49,finished,42,[7.21136095],15.62700013072844,[8.41563918]
23,"(1, 85)","[52.54034880580689, 13.41135654219281]","[52.50732822206054, 13.326172230812324]",85,finished,53,[0.18393142],5.547116517322435,[5.3631851]
24,"(1, 40)","[52.532131889032755, 13.406074063128493]","[52.48314617267219, 13.421703606934024]",40,finished,17,[0.98120205],9.54289940012237,[8.56169735]
25,"(1, 88)","[52.55003208534713, 13.409888496651659]","[52.55093759225345, 13.39336277529615]",88,finished,88,[15.0725431],23.07055208560629,[7.99800898]
26,"(1, 73)","[52.49667447207546, 13.452580320474999]","[52.51988701096192, 13.376712040232828]",73,finished,39,[3.63236944],9.516208726578473,[5.88383929]
27,"(1, 75)","[52.52045890869072, 13.449848448065922]","[52.54756754454999, 13.427809777225585]",75,finished,85,[8.59556331],16.87131720927942,[8.2757539]
28,"(1, 36)","[52.52821686838562, 13.295111448241878]","[52.50862836530567, 13.386602959977406]",36,finished,42,[0.63231635],7.377180036657713,[6.74486368]
29,"(1, 16)","[52.48718826918445, 13.36927901539586]","[52.476475590085805, 13.444946662412553]",16,finished,13,[1.61815743],11.90432298054085,[10.28616555]
30,"(3, 36)","[52.512157992707536, 13.285284885243666]","[52.50817081789025, 13.311093666423591]",36,finished,36,[18.29778091],22.408200825021144,[4.11041991]
