,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"(6, 1, 36, 3, 0, 0)","(6, 1, 33, 2, 0, 0)","(9, 4, 53, 3, 0, 0)","(9, 4, 25, 1, 0, 0)","(9, 6, 73, 3, 0, 0)","(9, 6, 49, 3, 0, 1)","(9, 7, 41, 3, 1, 0)","(9, 8, 42, 3, 1, 1)","(8, 8, 13, 3, 0, 0)","(8, 9, 77, 3, 0, 1)","(7, 9, 37, 2, 0, 1)","(9, 10, 53, 3, 0, 1)","(9, 11, 53, 3, 1, 1)",,
1,1,0,4,0,1,2,0,0,4,2,0,3,1,,
2,5.463687953861109,-9.157652431775825,32.08673800701433,19.513611359640336,17.23945457332941,14.969758684622127,9.889262966638078,9.255872239000476,16.129692904970128,17.3681563643414,4.534833306452654,2.3760942984537925,10.992686253086456,,
0,"(7, 1, 55, 3, 0, 0)","(7, 2, 55, 3, 0, 0)","(9, 3, 59, 3, 0, 0)","(9, 3, 17, 3, 0, 0)","(9, 4, 75, 3, 1, 0)","(9, 5, 76, 3, 0, 0)","(9, 6, 42, 3, 1, 0)","(9, 6, 41, 3, 1, 1)","(8, 7, 34, 3, 1, 0)","(9, 8, 41, 3, 0, 1)","(4, 9, 38, 2, 0, 0)","(3, 10, 3, 2, 0, 0)","(3, 10, 51, 3, 0, 1)",,
1,3,0,0,4,1,2,4,3,2,3,2,3,4,,
2,-0.0,-9.504938433513043,19.916337448408648,13.647507142011227,2.9126936220280726,2.8696001855185767,8.742960508735766,14.462732976616753,-0.1747989100314411,19.159870818840407,11.394055802971993,6.475051751819635,12.49518546456693,,
0,"(7, 1, 56, 3, 0, 0)","(6, 1, 57, 3, 0, 0)","(9, 2, 35, 3, 0, 0)","(9, 2, 47, 2, 0, 0)","(4, 5, 62, 2, 0, 0)","(4, 6, 38, 1, 0, 0)","(8, 10, 51, 3, 0, 1)","(8, 10, 36, 3, 0, 2)",,,,,,,
1,1,1,4,3,3,0,2,2,,,,,,,
2,14.092263263960383,7.664018713588108,5.494457693992532,11.665975074504589,19.41459544303304,20.626605596057093,7.137967000609288,2.0100236484294687,,,,,,,
0,"(7, 0, 42, 3, 0, 1)","(9, 1, 77, 3, 0, 0)","(9, 1, 53, 3, 0, 0)","(4, 3, 45, 3, 0, 0)","(4, 3, 49, 3, 0, 1)","(9, 4, 53, 3, 0, 0)","(9, 6, 45, 3, 0, 0)","(9, 7, 45, 3, 0, 0)","(9, 8, 27, 3, 0, 0)","(8, 8, 39, 3, 1, 1)","(7, 9, 15, 3, 0, 1)",,,,
