,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,"{'vehicle_id': 188, 'time_send': 21.040336311543715, 'time_enter': 26.451167356756322, 'time_start': 26.451167356756322, 'SOC_end': 100.0, 'SOC_send': 70.39193273769125, 'lat': 52.52290617950779, 'long': 13.425152826244583, 'v_hex': '871f1d489ffffff', 'CS_location': [52.5257475440694, 13.409062493613757], 'v_position': 40, 'CS_position': 40, 'distance': 1.7054155226063044}"
20,
21,
22,"{'vehicle_id': 272, 'time_send': 29.840989410183845, 'time_enter': 37.239458887124236, 'time_start': 37.239458887124236, 'SOC_end': 100.0, 'SOC_send': 69.83180211796324, 'lat': 52.48117606477928, 'long': 13.429981219219801, 'v_hex': '871f18b21ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 13, 'CS_position': 73, 'distance': 2.6992347384701953}"
23,
24,
25,"{'vehicle_id': 252, 'time_send': 34.60588465321502, 'time_enter': 43.44951361077132, 'time_start': 43.44951361077132, 'SOC_end': 100.0, 'SOC_send': 68.07882306935699, 'lat': 52.47443398874194, 'long': 13.434886737669778, 'v_hex': '871f18b21ffffff', 'CS_location': [52.49354154204223, 13.447052745473286], 'v_position': 13, 'CS_position': 73, 'distance': 3.4218144787781486}"
26,
27,
28,
29,
30,"{'vehicle_id': 70, 'time_send': 16.511861383616832, 'time_enter': 21.521800750070543, 'time_start': 21.521800750070543, 'SOC_end': 100.0, 'SOC_send': 72.29762772327663, 'lat': 52.47982662731647, 'long': 13.362723389095008, 'v_hex': '871f18b26ffffff', 'CS_location': [52.47097073792449, 13.35994956957977], 'v_position': 18, 'CS_position': 18, 'distance': 1.504969683226856}"
31,
32,
33,
34,
35,
36,"{'vehicle_id': 7, 'time_send': 57.0614687281248, 'time_enter': 65.33954640169301, 'time_start': 65.33954640169301, 'SOC_end': 100.0, 'SOC_send': 66.79632465513704, 'lat': 52.5137659704297, 'long': 13.310137438370408, 'v_hex': '871f1d483ffffff', 'CS_location': [52.52141790152521, 13.33829806832828], 'v_position': 36, 'CS_position': 45, 'distance': 3.139038836784104}"
37,
38,"{'vehicle_id': 198, 'time_send': 68.6584622959871, 'time_enter': 76.86640238012929, 'time_start': None, 'SOC_end': 96.62671952397415, 'SOC_send': 97.86830754080258, 'lat': 52.518904838261534, 'long': 13.368612869307242, 'v_hex': '871f1d488ffffff', 'CS_location': [52.50749500767846, 13.392681631628767], 'v_position': 39, 'CS_position': 42, 'distance': 3.1039700420710896}"
