,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,"(7, 0, 88, 3, 0, 0)","(9, 3, 88, 3, 0, 0)","(9, 4, 88, 3, 1, 0)","(9, 4, 58, 3, 0, 0)","(4, 7, 59, 3, 0, 1)","(9, 8, 35, 3, 1, 0)","(9, 9, 62, 1, 0, 1)","(9, 10, 53, 3, 0, 1)",,,,,,,,
1,0,1,3,3,0,1,0,0,,,,,,,,
2,-5.436251949384992,-0.0,10.30720936384003,18.007181076332433,9.36904835371049,0.5034056340343263,10.566208608313271,15.557335691919175,,,,,,,,
0,"(7, 1, 58, 2, 0, 0)","(9, 3, 88, 3, 0, 0)","(9, 4, 88, 3, 1, 0)","(9, 4, 86, 3, 0, 1)","(9, 6, 17, 3, 0, 0)","(4, 7, 74, 3, 0, 0)",,,,,,,,,,
1,0,1,1,1,3,0,,,,,,,,,,
2,-7.582032704920851,-0.0,10.53719345792856,20.489798264091515,14.975538972967104,-2.67366420346268,,,,,,,,,,
0,"(7, 1, 84, 3, 0, 0)","(4, 2, 86, 3, 0, 0)","(9, 4, 39, 3, 1, 0)","(9, 5, 39, 3, 0, 0)","(9, 5, 17, 3, 0, 0)","(9, 5, 41, 3, 0, 0)","(9, 7, 45, 3, 0, 1)","(9, 8, 45, 3, 0, 1)","(9, 8, 23, 2, 0, 0)","(8, 9, 72, 1, 0, 1)",,,,,,
1,2,2,4,0,4,2,4,3,4,0,,,,,,
2,8.617160966586862,-14.70264039358511,-0.0,7.160681298728529,15.077078332461406,-3.7465312149188774,-0.0,26.61774973522763,6.100634363733409,5.594022013262443,,,,,,
0,"(6, 0, 39, 3, 0, 0)","(6, 0, 39, 3, 0, 0)","(9, 1, 43, 3, 0, 0)","(4, 3, 59, 3, 0, 0)","(4, 3, 71, 3, 0, 0)","(4, 4, 88, 3, 1, 0)","(9, 5, 73, 3, 1, 1)","(9, 6, 21, 3, 0, 1)","(9, 6, 71, 3, 0, 0)","(4, 8, 34, 3, 1, 1)","(9, 9, 71, 3, 0, 1)","(4, 10, 88, 3, 1, 0)",,,,
1,4,2,3,2,3,1,4,1,3,2,3,0,,,,
2,7.823253366409258,0.8781018169301067,4.783530466461707,19.70953277975726,11.92764544619272,-5.826992162919423,7.744302638584968,11.451680251603854,32.3142720187108,7.378019895867168,20.452983383052604,16.166616766702468,,,,
0,"(7, 1, 85, 3, 0, 0)","(7, 1, 75, 3, 1, 1)","(9, 1, 85, 3, 1, 0)","(9, 3, 88, 3, 1, 1)","(8, 3, 85, 3, 0, 0)","(9, 5, 68, 1, 0, 0)","(8, 6, 40, 3, 1, 0)","(9, 6, 73, 3, 1, 1)","(9, 7, 17, 3, 0, 0)","(9, 7, 51, 3, 0, 1)","(8, 8, 77, 3, 0, 1)","(4, 9, 18, 3, 0, 0)","(9, 10, 16, 3, 0, 1)",,,
1,4,2,1,4,0,4,2,0,4,4,3,2,3,,,
2,9.705426597344063,-0.8763561791174279,12.239647558666654,9.124699607741107,5.3270081964897695,32.82706406812694,4.470540188755911,7.215958725150426,21.453561184049224,27.638256916433157,23.61096250708507,0.7896378703798081,12.887106532411286,,,
0,"(6, 1, 51, 3, 0, 1)","(8, 3, 43, 3, 0, 0)","(8, 4, 43, 3, 0, 0)","(8, 5, 40, 3, 0, 1)","(4, 6, 77, 3, 1, 0)","(9, 7, 39, 3, 1, 0)","(9, 8, 39, 3, 1, 1)","(9, 8, 77, 3, 0, 1)","(9, 9, 86, 3, 0, 1)","(9, 11, 39, 3, 0, 1)",,,,,,
1,0,4,4,3,0,3,2,2,1,0,,,,,,
2,33.0655720479588,5.387583933808697,16.259382190207532,4.381575891844953,-11.504086841710667,7.155216168709549,14.071196486485293,8.98938015479722,18.962072092439293,15.255790929952244,,,,,,
0,"(7, 1, 67, 2, 0, 0)","(7, 2, 86, 3, 1, 0)","(6, 2, 57, 1, 0, 0)","(6, 3, 57, 1, 0, 0)","(6, 3, 85, 3, 1, 0)","(9, 6, 75, 3, 0, 1)","(9, 6, 77, 3, 0, 1)","(9, 7, 74, 3, 0, 1)","(9, 7, 42, 3, 0, 1)","(9, 8, 83, 3, 0, 1)",,,,,,
1,0,4,3,1,0,0,1,2,2,3,,,,,,
2,-7.843857008010765,25.959633953839756,-0.0,13.549826342356567,6.04308357403172,7.2965015590494655,2.5870261945870645,10.450887788191926,5.070674997726941,21.193876622473173,,,,,,
0,"(6, 0, 48, 3, 0, 0)","(6, 1, 61, 3, 0, 0)","(9, 2, 40, 3, 0, 0)","(9, 3, 49, 3, 0, 0)","(9, 4, 41, 3, 0, 0)","(9, 6, 45, 3, 0, 0)","(9, 7, 45, 3, 0, 1)","(8, 8, 42, 3, 0, 0)",,,,,,,,
1,4,2,0,2,1,0,4,3,,,,,,,,
2,24.768115548422223,12.885459716773475,9.917076101656056,6.12754041821936,-2.3636681925192424,-1.1773952259409524,28.92148407869171,28.83928570194789,,,,,,,,
0,"(6, 1, 26, 3, 1, 0)","(5, 2, 64, 1, 0, 0)","(5, 3, 53, 3, 1, 0)","(4, 3, 36, 3, 0, 0)","(9, 5, 45, 3, 0, 0)","(9, 6, 45, 3, 0, 0)","(9, 6, 17, 3, 1, 0)","(9, 7, 71, 3, 0, 0)","(4, 10, 16, 3, 1, 2)","(4, 11, 17, 3, 0, 0)","(3, 11, 49, 3, 0, 2)",,,,,
1,3,3,3,2,1,4,0,3,0,2,3,,,,,
2,35.47090505014773,22.34938985928466,8.565010389311576,-11.168055474635626,-0.0,20.206631071730126,4.715920021967537,23.540581418234986,7.277663683942338,17.156327290992856,14.793427893833393,,,,,
0,"(6, 0, 48, 3, 0, 0)","(9, 2, 41, 3, 0, 0)","(9, 3, 35, 2, 0, 1)","(4, 6, 53, 3, 0, 0)","(3, 7, 75, 3, 0, 1)","(9, 10, 79, 1, 0, 0)",,,,,,,,,,
1,1,0,3,3,0,1,,,,,,,,,,
2,3.194243894038406,9.743909523383806,19.65507460977393,24.535502500864077,0.8073296143380484,12.657309844189012,,,,,,,,,,
0,"(6, 0, 72, 3, 0, 0)","(9, 2, 82, 3, 0, 0)","(9, 3, 85, 3, 1, 0)","(8, 4, 53, 3, 0, 0)","(4, 6, 40, 3, 0, 1)","(9, 7, 44, 3, 1, 1)","(9, 8, 44, 3, 0, 1)","(9, 8, 39, 3, 0, 0)","(9, 9, 55, 1, 0, 1)","(8, 9, 43, 3, 0, 1)","(9, 10, 53, 3, 0, 1)",,,,,
1,0,0,4,3,2,0,2,4,4,2,0,,,,,
2,1.458457399930575,17.88832723713376,20.55423821078218,24.10517468157995,-7.905799859825078,5.814889518471453,10.624230141082993,14.075090576962243,8.701343615595635,17.27614906889856,8.828067471280646,,,,,
0,"(6, 1, 41, 3, 0, 1)","(9, 3, 45, 3, 0, 0)","(9, 3, 43, 3, 0, 0)","(9, 5, 37, 1, 0, 0)","(9, 6, 49, 3, 0, 0)","(9, 6, 53, 3, 0, 1)","(9, 7, 17, 3, 0, 0)","(9, 8, 48, 3, 0, 1)","(8, 8, 53, 3, 0, 1)","(9, 9, 34, 3, 0, 0)","(9, 9, 53, 3, 0, 1)","(9, 10, 49, 3, 0, 1)",,,,
1,0,3,0,2,4,1,4,4,2,2,2,3,,,,
2,-9.070232282880868,7.085291580770734,11.191440695943392,18.42316481651437,8.762945021557332,17.10465746277583,17.338054154428473,5.0,-0.24386486398444873,17.605945735670012,6.738119480560818,26.43024653940964,,,,
0,"(7, 1, 6, 2, 0, 0)","(7, 2, 6, 2, 0, 0)","(6, 3, 6, 2, 0, 0)","(5, 5, 49, 3, 0, 0)","(5, 5, 18, 3, 0, 0)","(9, 6, 51, 3, 0, 0)","(4, 7, 27, 3, 0, 0)","(9, 10, 53, 3, 0, 2)","(9, 10, 73, 3, 0, 1)",,,,,,,
1,4,4,2,3,2,3,0,4,1,,,,,,,
2,-0.0,-0.0,47.221697591019456,11.164434720424694,-1.614677201499644,15.344489239643295,-6.263226739693662,21.339479255908238,10.085101869024117,,,,,,,
0,"(7, 1, 34, 3, 0, 0)","(9, 3, 39, 3, 0, 0)","(4, 5, 39, 3, 0, 0)","(9, 7, 21, 3, 0, 0)","(9, 8, 75, 3, 0, 1)","(9, 9, 83, 3, 0, 2)","(8, 9, 77, 3, 0, 2)","(9, 10, 74, 3, 0, 2)",,,,,,,,
1,1,3,0,0,2,2,0,4,,,,,,,,
2,16.60833331548581,3.9469367456405453,-1.159890853489004,6.5712058100720085,26.065755892028655,3.5601804980295326,9.574562902312312,19.236224029084713,,,,,,,,
0,"(7, 1, 56, 3, 0, 0)","(6, 2, 21, 3, 1, 0)","(9, 4, 42, 3, 1, 0)","(4, 5, 45, 3, 0, 0)","(4, 6, 45, 3, 0, 0)","(4, 7, 45, 3, 0, 1)","(4, 7, 42, 3, 0, 1)","(4, 7, 40, 3, 0, 1)","(3, 8, 26, 3, 0, 0)","(2, 9, 37, 3, 0, 0)","(9, 11, 41, 3, 1, 1)",,,,,
1,4,0,3,1,1,2,4,0,1,1,0,,,,,
2,39.95855613764187,0.3105742090585898,2.2739793383058036,-0.0,-0.0,12.40747404814605,15.597422758355002,27.524684917180817,38.00520105055521,-9.804349136265191,14.520669347011891,,,,,
0,"(6, 0, 44, 3, 0, 0)","(6, 0, 34, 3, 0, 0)","(9, 2, 41, 3, 0, 0)","(9, 3, 88, 3, 1, 0)","(9, 3, 49, 3, 0, 0)","(9, 4, 14, 3, 1, 0)","(4, 7, 8, 3, 0, 1)","(9, 8, 39, 3, 0, 1)","(3, 10, 52, 3, 1, 1)","(2, 11, 49, 3, 0, 1)",,,,,,
1,3,2,1,4,2,3,2,3,0,3,,,,,,
2,10.36152083512098,12.053623584003756,10.895718427714565,21.80135722421693,5.666171294826674,12.850408165298889,-5.408505383525717,43.334220548210666,27.095459668933255,8.551252625684137,,,,,,
0,"(7, 0, 12, 3, 0, 0)","(4, 1, 18, 3, 0, 0)","(9, 3, 16, 3, 0, 0)","(9, 3, 41, 3, 1, 0)","(4, 6, 36, 3, 0, 0)","(4, 6, 16, 3, 0, 1)","(4, 7, 71, 3, 0, 1)","(3, 7, 13, 3, 1, 0)",,,,,,,,
1,3,0,4,3,2,3,3,1,,,,,,,,
2,13.873007214225701,-9.188760073423644,8.696561771054686,3.353454549693783,20.601323855138137,21.596650923154716,12.549525976798254,-4.945409204729927,,,,,,,,
0,"(7, 1, 3, 3, 0, 0)","(5, 2, 44, 3, 0, 0)","(9, 4, 57, 3, 0, 1)","(9, 5, 59, 3, 0, 0)","(9, 5, 43, 3, 0, 0)","(9, 6, 53, 3, 0, 0)","(8, 7, 27, 3, 1, 1)","(8, 8, 26, 3, 0, 1)","(4, 10, 48, 3, 0, 1)","(4, 10, 45, 3, 0, 2)",,,,,,
1,4,0,0,1,2,1,4,3,3,0,,,,,,
2,53.385646939974066,10.27119210650683,-2.576072104394466,7.346951196964021,21.020249291587305,31.490632060289474,8.618658717475235,22.776626913324563,12.870806761108517,11.556810252928349,,,,,,
0,"(7, 1, 25, 3, 0, 0)","(9, 2, 7, 3, 0, 0)","(9, 3, 36, 3, 0, 1)","(9, 5, 45, 3, 0, 0)","(9, 6, 45, 3, 0, 0)","(9, 7, 17, 3, 0, 0)","(9, 8, 40, 3, 0, 0)","(9, 8, 71, 3, 1, 1)","(8, 8, 76, 3, 0, 0)","(9, 10, 71, 3, 0, 0)","(9, 10, 76, 3, 0, 0)",,,,,
1,0,1,2,1,4,0,4,2,0,1,1,,,,,
2,4.718320530841076,24.688646794888978,-4.054858639665747,-0.0,22.786917341150883,10.364100733667307,5.0,11.223174137296962,11.15875373995952,4.766083224272756,12.757192493991212,,,,,
