,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2,19.93432288636548,9.64947467265004,16.23232997360263,14.175190761506133,3.762034234772388,10.561665693281558,21.748795503446154,9.857083419925273,0.9592084827637142,16.15802517625409,,,,,,,
0,"(6, 0, 3, 3, 0, 0)","(6, 1, 3, 3, 0, 0)","(9, 3, 3, 3, 0, 1)","(9, 3, 7, 3, 0, 0)","(9, 4, 28, 3, 1, 1)","(9, 5, 27, 3, 0, 0)","(9, 6, 27, 3, 0, 0)","(9, 6, 15, 3, 0, 0)","(9, 8, 14, 3, 0, 0)","(8, 9, 65, 1, 0, 1)","(7, 10, 49, 3, 0, 2)","(4, 10, 53, 3, 0, 1)","(4, 10, 53, 3, 0, 1)","(4, 11, 39, 3, 0, 2)",,,
1,3,0,4,1,4,2,1,0,1,4,3,3,3,3,,,
2,-0.0,-5.73506841555599,21.633578671449264,17.900320383538062,6.849919871881615,6.418007662789542,16.624113081378333,-2.3499205041214486,44.890785389471745,37.86241157387379,11.334780093603452,5.0,15.618457139748017,10.788276633232353,,,
0,"(6, 0, 18, 3, 0, 0)","(9, 1, 16, 3, 0, 1)","(9, 2, 18, 3, 0, 0)","(4, 3, 14, 3, 1, 0)","(9, 5, 25, 3, 0, 0)","(9, 5, 27, 3, 0, 0)","(9, 6, 27, 3, 0, 0)","(9, 6, 36, 3, 0, 1)","(9, 7, 48, 3, 0, 1)","(4, 9, 49, 3, 0, 2)",,,,,,,
1,2,4,3,1,1,0,1,0,3,3,,,,,,,
2,9.776319292360569,10.653320617139928,19.904309687273745,-7.1928690510140205,2.4957184287661,-0.44186678632939796,18.07915579815822,8.972091335691465,16.793604514767104,23.14925298676396,,,,,,,
0,"(7, 1, 30, 3, 0, 0)","(9, 3, 71, 3, 1, 0)","(9, 4, 73, 3, 0, 0)","(9, 4, 13, 3, 0, 0)","(9, 5, 17, 3, 1, 0)","(9, 6, 13, 3, 1, 1)","(8, 6, 3, 2, 0, 0)","(9, 8, 41, 3, 0, 1)","(9, 8, 39, 3, 0, 1)","(4, 9, 44, 3, 0, 1)","(9, 10, 40, 3, 0, 1)",,,,,,
1,0,0,4,1,4,4,1,2,3,2,3,,,,,,
2,28.39706889652186,-3.2866530027754903,5.320092016929545,3.2936957231412785,7.42200653150121,34.808626807008665,23.44795561007452,13.584901135306879,21.54849739750074,-4.742110639717921,25.992940493202745,,,,,,
0,"(6, 1, 21, 3, 0, 0)","(9, 2, 49, 3, 0, 0)","(4, 4, 14, 3, 0, 0)","(4, 4, 18, 3, 0, 1)","(9, 6, 14, 3, 0, 0)","(9, 6, 12, 3, 0, 1)","(9, 7, 35, 3, 0, 0)","(4, 10, 51, 3, 0, 2)","(3, 10, 77, 3, 0, 1)",,,,,,,,
1,1,3,3,1,3,2,3,3,1,,,,,,,,
2,14.680644113162504,5.1330131370758325,13.66953089475728,-9.921617790648856,10.250037045356361,16.72661484962795,17.429792405920953,12.72648051198686,0.7588705115723293,,,,,,,,
0,"(5, 2, 42, 3, 1, 0)","(4, 2, 71, 3, 0, 0)","(4, 3, 71, 3, 0, 0)","(4, 3, 72, 2, 0, 0)","(9, 7, 88, 3, 1, 1)","(9, 7, 60, 3, 0, 1)","(9, 7, 61, 2, 0, 0)","(8, 9, 43, 3, 0, 1)","(9, 10, 76, 3, 0, 1)","(9, 11, 77, 3, 0, 1)",,,,,,,
1,3,3,3,0,4,2,4,2,1,1,,,,,,,
2,24.054002753065433,-0.0,11.658426468207594,4.337060864143979,8.016130344735172,6.567519833979241,30.73241481526186,14.811549647619763,6.828982792334439,23.235189784241072,,,,,,,
0,"(6, 1, 50, 3, 0, 0)","(9, 3, 28, 3, 0, 0)","(9, 4, 41, 3, 1, 0)","(9, 5, 18, 3, 0, 0)","(4, 6, 21, 3, 0, 0)","(4, 7, 21, 3, 0, 0)","(3, 7, 71, 3, 1, 0)","(9, 8, 73, 3, 0, 1)",,,,,,,,,
1,1,1,2,3,3,3,2,3,,,,,,,,,
2,-1.9013975120984483,22.01520236633111,13.996991591073506,30.649715234427735,-0.0,19.396687445140323,-12.664067609241854,40.08095561066041,,,,,,,,,
0,"(7, 1, 26, 3, 0, 0)","(6, 1, 49, 2, 0, 1)","(6, 2, 35, 2, 0, 0)","(5, 3, 2, 1, 0, 0)","(9, 6, 51, 3, 0, 0)","(4, 9, 75, 3, 1, 2)","(3, 9, 20, 2, 0, 0)","(2, 10, 11, 2, 0, 0)",,,,,,,,,
1,1,3,3,0,3,2,2,3,,,,,,,,,
2,15.271696136349725,10.49179757295875,34.18766861134785,-1.618444261366502,44.625419834889236,19.848320731387734,11.705271747711326,-0.0,,,,,,,,,
0,"(7, 1, 7, 3, 0, 0)","(6, 1, 17, 3, 1, 0)","(6, 2, 17, 3, 1, 0)","(9, 5, 42, 3, 1, 0)","(9, 6, 43, 3, 0, 1)","(9, 6, 43, 3, 0, 0)","(4, 7, 49, 3, 0, 1)","(9, 8, 73, 3, 0, 1)","(4, 9, 41, 3, 1, 1)","(3, 10, 74, 3, 0, 1)","(3, 10, 76, 3, 0, 0)",,,,,,
1,1,3,0,1,4,3,1,3,0,3,3,,,,,,
2,14.907805094498386,-0.0,-8.307044071445585,12.3963395263245,7.159616186064446,14.308504736253868,11.541546646106253,31.086859097899037,11.200006064273456,6.7821460699293175,14.059228334936247,,,,,,
0,"(7, 1, 55, 3, 0, 0)","(4, 2, 53, 3, 0, 0)","(9, 3, 41, 3, 0, 1)","(9, 4, 44, 3, 0, 0)","(9, 4, 85, 3, 0, 0)","(9, 6, 83, 3, 0, 0)","(9, 6, 88, 2, 0, 0)","(4, 9, 77, 3, 1, 2)","(4, 9, 40, 3, 0, 1)","(3, 9, 45, 3, 0, 1)",,,,,,,
1,2,2,4,1,1,4,3,3,0,1,,,,,,,
2,17.099454649367665,-6.622640443030601,13.055616763334854,9.183375575357818,-3.0257644418172536,8.49520704857185,30.588668029448737,8.97628089639228,16.152796537445777,20.960946395460205,,,,,,,
0,"(6, 0, 74, 3, 0, 0)","(9, 2, 73, 3, 0, 1)","(9, 3, 77, 3, 0, 0)","(9, 4, 13, 3, 1, 1)","(4, 8, 71, 3, 0, 0)","(9, 11, 40, 3, 0, 3)",,,,,,,,,,,
1,1,1,1,3,0,4,,,,,,,,,,,
2,3.523852773677544,6.598869069730856,6.5361197253028225,28.78341476317742,-0.10984188449040744,10.630363339494226,,,,,,,,,,,
0,"(6, 0, 17, 3, 0, 1)","(6, 1, 17, 3, 0, 0)","(6, 1, 77, 3, 1, 0)","(6, 1, 41, 3, 1, 0)","(9, 3, 73, 3, 1, 0)","(9, 4, 74, 3, 0, 0)","(9, 4, 80, 1, 0, 0)","(9, 6, 16, 3, 1, 0)","(9, 6, 40, 3, 0, 1)","(4, 8, 42, 3, 1, 1)","(3, 8, 17, 3, 1, 1)","(9, 9, 73, 3, 1, 1)","(9, 10, 41, 3, 0, 3)","(9, 10, 73, 3, 0, 0)","(9, 11, 40, 3, 0, 1)",,
1,3,1,3,1,1,4,2,1,3,3,2,2,1,2,0,,
2,-0.0,6.075649905886619,15.400606764262285,0.2584707595956619,-3.435506812291154,11.623276804837623,5.329890404509609,18.278136386039225,33.05789561773099,9.276692094326119,-9.395106757253007,20.201644467704053,24.250597378233564,18.171906606818634,8.255711486239937,,
0,"(6, 0, 42, 3, 0, 0)","(9, 2, 42, 3, 1, 0)","(9, 3, 42, 3, 1, 0)","(9, 3, 88, 3, 0, 0)","(9, 4, 61, 3, 0, 0)","(8, 5, 88, 3, 0, 0)","(8, 5, 37, 1, 0, 0)","(7, 6, 33, 3, 1, 0)","(6, 7, 72, 3, 0, 0)","(6, 8, 42, 3, 1, 1)","(5, 8, 16, 3, 0, 1)",,,,,,
1,2,4,4,4,4,1,0,4,2,0,3,,,,,,
2,-7.635936155836704,-0.0,13.085888961701809,15.04687109037338,21.3093614703468,21.24461035194099,0.5792033807526717,39.91044129935125,11.964404413941452,12.372090915056866,18.6483410470585,,,,,,
0,"(6, 0, 71, 3, 0, 0)","(9, 2, 77, 3, 1, 0)","(4, 4, 10, 1, 0, 0)","(3, 5, 86, 3, 0, 1)","(9, 9, 73, 3, 0, 1)","(9, 10, 53, 3, 0, 1)",,,,,,,,,,,
1,2,3,3,0,0,0,,,,,,,,,,,
2,3.981185719881938,31.728088727689563,48.17998513443863,-3.3602630162798235,25.833793020524908,12.960298680353333,,,,,,,,,,,
